"","ERR688505_500K_merged_Abundance","ERR688506_500K_merged_Abundance","ERR688507_500K_merged_Abundance","ERR688508_500K_merged_Abundance","ERR688509_500K_merged_Abundance","ERR688510_500K_merged_Abundance","ERR688511_500K_merged_Abundance","ERR688512_500K_merged_Abundance","ERR688513_500K_merged_Abundance","ERR688514_500K_merged_Abundance","ERR688515_500K_merged_Abundance","ERR688516_500K_merged_Abundance","ERR688517_500K_merged_Abundance","ERR688518_500K_merged_Abundance","ERR688519_500K_merged_Abundance","ERR688520_500K_merged_Abundance","ERR688521_500K_merged_Abundance","ERR688522_500K_merged_Abundance","ERR688523_500K_merged_Abundance","ERR688524_500K_merged_Abundance","ERR688525_500K_merged_Abundance","ERR688526_500K_merged_Abundance","ERR688527_500K_merged_Abundance","ERR688528_500K_merged_Abundance","ERR688529_500K_merged_Abundance","ERR688530_500K_merged_Abundance","ERR688531_500K_merged_Abundance","ERR688532_500K_merged_Abundance","ERR688533_500K_merged_Abundance","ERR688534_500K_merged_Abundance","ERR688535_500K_merged_Abundance","ERR688536_500K_merged_Abundance","ERR688537_500K_merged_Abundance","ERR688538_500K_merged_Abundance","ERR688539_500K_merged_Abundance","ERR688540_500K_merged_Abundance","ERR688541_500K_merged_Abundance","ERR688542_500K_merged_Abundance","ERR688543_500K_merged_Abundance","ERR688544_500K_merged_Abundance","ERR688545_500K_merged_Abundance","ERR688546_500K_merged_Abundance","ERR688547_500K_merged_Abundance","ERR688548_500K_merged_Abundance","ERR688549_500K_merged_Abundance","ERR688550_500K_merged_Abundance","ERR688551_500K_merged_Abundance","ERR688552_500K_merged_Abundance","ERR688553_500K_merged_Abundance","ERR688554_500K_merged_Abundance","ERR688555_500K_merged_Abundance","ERR688556_500K_merged_Abundance","ERR688557_500K_merged_Abundance","ERR688558_500K_merged_Abundance","ERR688559_500K_merged_Abundance","ERR688560_500K_merged_Abundance","ERR688561_500K_merged_Abundance","ERR688562_500K_merged_Abundance","ERR688563_500K_merged_Abundance","ERR688564_500K_merged_Abundance","ERR688565_500K_merged_Abundance","ERR688566_500K_merged_Abundance","ERR688567_500K_merged_Abundance","ERR688568_500K_merged_Abundance","ERR688569_500K_merged_Abundance","ERR688570_500K_merged_Abundance","ERR688571_500K_merged_Abundance","ERR688572_500K_merged_Abundance","ERR688573_500K_merged_Abundance","ERR688574_500K_merged_Abundance","ERR688575_500K_merged_Abundance","ERR688576_500K_merged_Abundance","ERR688577_500K_merged_Abundance","ERR688578_500K_merged_Abundance","ERR688579_500K_merged_Abundance","ERR688580_500K_merged_Abundance","ERR688581_500K_merged_Abundance","ERR688582_500K_merged_Abundance","ERR688583_500K_merged_Abundance","ERR688584_500K_merged_Abundance","ERR688585_500K_merged_Abundance","ERR688586_500K_merged_Abundance","ERR688587_500K_merged_Abundance","ERR688588_500K_merged_Abundance","ERR688589_500K_merged_Abundance","ERR688590_500K_merged_Abundance","ERR688591_500K_merged_Abundance","ERR688592_500K_merged_Abundance","ERR688593_500K_merged_Abundance","ERR688594_500K_merged_Abundance","ERR688595_500K_merged_Abundance","ERR688596_500K_merged_Abundance","ERR688597_500K_merged_Abundance","ERR688598_500K_merged_Abundance","ERR688599_500K_merged_Abundance","ERR688600_500K_merged_Abundance","ERR688601_500K_merged_Abundance","ERR688602_500K_merged_Abundance","ERR688603_500K_merged_Abundance","ERR688604_500K_merged_Abundance","ERR688605_500K_merged_Abundance","ERR688606_500K_merged_Abundance","ERR688607_500K_merged_Abundance","ERR688608_500K_merged_Abundance","ERR688609_500K_merged_Abundance","ERR688610_500K_merged_Abundance","ERR688611_500K_merged_Abundance","ERR688612_500K_merged_Abundance","ERR688613_500K_merged_Abundance","ERR688614_500K_merged_Abundance","ERR688615_500K_merged_Abundance","ERR688616_500K_merged_Abundance","ERR688617_500K_merged_Abundance","ERR688618_500K_merged_Abundance","ERR688619_500K_merged_Abundance","ERR688620_500K_merged_Abundance","ERR688621_500K_merged_Abundance","ERR688622_500K_merged_Abundance","ERR688623_500K_merged_Abundance","ERR688624_500K_merged_Abundance","ERR688625_500K_merged_Abundance","ERR688626_500K_merged_Abundance","ERR688627_500K_merged_Abundance","ERR688628_500K_merged_Abundance","ERR688629_500K_merged_Abundance","ERR688630_500K_merged_Abundance","ERR688631_500K_merged_Abundance","ERR688632_500K_merged_Abundance","ERR688633_500K_merged_Abundance","ERR688634_500K_merged_Abundance","ERR688635_500K_merged_Abundance","ERR688636_500K_merged_Abundance","ERR688637_500K_merged_Abundance","ERR688638_500K_merged_Abundance","ERR688639_500K_merged_Abundance","ERR688640_500K_merged_Abundance","ERR688641_500K_merged_Abundance","ERR688642_500K_merged_Abundance","ERR688643_500K_merged_Abundance","ERR688644_500K_merged_Abundance","ERR688645_500K_merged_Abundance","ERR688646_500K_merged_Abundance","ERR688647_500K_merged_Abundance","ERR688648_500K_merged_Abundance","ERR688649_500K_merged_Abundance","ERR688650_500K_merged_Abundance","ERR688651_500K_merged_Abundance","ERR710424_500K_merged_Abundance","ERR710425_500K_merged_Abundance","ERR710426_500K_merged_Abundance","ERR710427_500K_merged_Abundance","ERR710428_500K_merged_Abundance","ERR710429_500K_merged_Abundance","ERR710430_500K_merged_Abundance","ERR710431_500K_merged_Abundance","ERR710432_500K_merged_Abundance"
"PWY-7791: UMP biosynthesis III",0.000405697,0.000342164,0.000426099,0.000490563,0.000542155,0.00063525,0.000578081,0.000534231,0.000374938,0.000353761,0.000348714,0.000439376,0.000278149,0.000466284,0.000624796,0.000625388,0.000513445,0.000489318,0.000520277,0.000156837,0.00016719,0.000552881,0.000279823,0.000312506,0.000261073,0.000546842,0.000596273,0.000346757,0.000492593,0.000199365,0.000565834,0.000439389,0.000612926,0.000507868,0.000464257,0.00038941,0.000233067,0.00044309,0.000364755,0.000279666,0.000259761,0.000492478,0.000304275,0.000298941,0.000433396,0.000538364,0.000406814,0.000515169,0.000280068,0.00061287,0.000520685,0.000441299,0.000323008,0.000429235,0.000321029,0.000335947,0.00051663,0.000474112,0.000607826,0.000371417,0.000188679,0.000652183,0.000303156,0.000475909,0.000349781,0.000204283,0.000453406,0.000531624,0.000405085,0.000345368,0.000298899,0.000346307,0.00027625,0.000260117,0.000159167,0.00036155,0.000397156,0.000278816,0.000255065,0.000650728,0.000548699,0.000303011,0.000482228,0.000655368,0.000460698,0.000253452,0.00067487,0.000253724,0.000397727,0.000645018,0.000200485,0.000429691,0.000486294,0.000622287,0.000475822,0.000136681,0.000487755,0.000476321,0.000454077,0.000318681,0.000506272,0.000497805,0.000471665,0.000397175,0.000435049,0.000210131,0.000384325,0.000343265,0.000446658,0.000184581,0.000744318,0.000558699,0.000459614,0.000348767,0.000372696,0.000592146,0.000468134,0.000355932,0.000361704,0.000388994,0.000542618,0.000205447,0.000223248,0.00039791,0.000329841,0.000172192,0.000382691,0.000205876,0.000370574,0.000250802,0.000286384,0.00042513,0.000420439,0.000179536,0.000312438,0.000300068,0.000400631,0.000261244,0.000444232,0.000535553,0.000436585,0.000486733,0.000370059,0.000515335,0.000335841,0.000435168,0.000352471,0.000291976,0.00042329,0.000283506,0.000368209,0.000366187,0.000337765,0.00044043,0.000305647,0.000175953
"PWY-7805: (aminomethyl)phosphonate degradation",0,0,0,0,0,0,0,0,1.71781e-05,0,0,9.40828e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61791e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08382e-05,0,0,0,0,0,0,0,0,0,0,0,3.17e-05,0,8.92878e-06,0,0,0,0,0,0,0,2.78735e-05,0,0,0,0,0,0,1.01605e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36806e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7807: glyphosate degradation III",0,0,0,0,0,0,0,0,1.59603e-05,0,0,8.87765e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50056e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9989e-05,0,0,0,0,0,0,0,0,0,0,0,2.97455e-05,0,8.09823e-06,0,0,0,0,0,0,0,2.9644e-05,0,0,0,0,0,0,9.47391e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000108524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.236e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7820: teichuronic acid biosynthesis (B. subtilis 168)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7851: coenzyme A biosynthesis II (eukaryotic)",0.000346047,0.000248171,0.000351411,0.000156174,0.000439733,0.000389038,0.000384294,0.000430622,0.000296615,0.000299935,0.000127892,0.000359333,0.000192757,0.000335563,0.000521768,0.000412514,0.000431538,0.000353327,0.000322584,0.000142401,0.000133073,0.000374235,0.000224239,0.000229703,0.000223378,0.000385268,0.000445327,0.000219258,0.000377659,0.000184687,0.000398,0.000330808,0.000393498,0.000451107,0.000335442,0.000273675,0.000236225,0.00047629,0.00016799,0.000308585,0.000174158,0.000263641,0.000321303,0.000244708,0.000346093,0.000493427,0.000169346,0.000215134,0.000268567,0.000511245,0.000309573,0.000322176,0.000258784,0.000246918,0.000319652,0.000313103,0.000463127,0.000423996,0.000378341,0.000317617,0.000242939,0.000548422,0.000301301,0.000273086,0,8.88284e-05,0.000368783,0.00034785,0.000305272,0.000188169,0.000246286,0.000271055,0.000185228,0.000146669,0.000170842,0.000286109,0.000199143,4.9433e-05,0.000175294,0.000463375,0.00039863,0.0001857,0.000417788,0.000410891,0.00019397,0.000229996,0.000493284,0.00026139,0.000322156,0.000445851,0.000199837,0.00043569,0.000274971,0.000421347,0.000320626,0.000117892,0.000352307,0.000440973,0.00039528,0.000246792,0.000461132,0.00049179,0.000338857,0.000290294,0.000300315,0.000176677,0.00032366,0.000326555,0.000408292,0.000141552,0.000583096,0.000390389,0.000446662,0.000266462,0.000343578,0.000467495,0.000312269,0.000282653,0.000313611,0.000204106,0.000298918,0.000167834,0.000218272,0.000260666,0.00025754,0.000147736,0.000326606,0.000195835,0.000243179,0.000124221,4.44948e-05,0.000270101,0.0001064,0.000183353,0.000209279,0.000301868,0.000335251,0.000204807,0.000169378,0.000423262,0.000319892,0.000392321,0.000263173,0.000475746,0.00023302,0.000301422,0.000242699,0.000325226,0.000309773,0.00018231,0.000299676,0.000335515,0.000297289,0.000375975,0.000294888,0.000171224
"PWY-7853: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (Pyrococcus)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7858: (5Z)-dodecenoate biosynthesis II",0,0,0,0,0,0,0,0,5.48235e-05,0,0,3.08456e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87483e-05,4.34296e-05,0,0.000150459,0,0,0,0,0,0,0,0,0.000100152,0,0,0,0,0.00010177,0,0,0,0,0,0,0,0,4.46505e-05,0,0,0.000224301,0,5.59365e-05,0,0,0,0,0,0,0,3.43632e-05,0,0,0,0,0,0,6.86291e-05,0,0,0.000123462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000129433,0,0,0,0,0,0,0,0,5.20273e-05,0,0,0,0,0,0,0,0.000113122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45373e-05,0.0001791,0,0,0,0,0,0.000246389,0,0.000146237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7873: D-erythronate degradation II",0,0,0,0,0,0,0,0,1.02575e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12751e-05,0,0,0,0,0,0,0,0,1.0041e-05,0,0,0,0,7.73698e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14175e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15661e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32607e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7874: L-threonate degradation",0,0,0,0,0,0,0,0,2.19965e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58433e-05,0,0,0,0,0,0,0,0,1.53732e-05,0,0,2.27683e-05,0,1.12843e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53483e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60717e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74215e-05,0,0,0,0,0,2.50505e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7883: anhydromuropeptides recycling II",0,0,0,0,0,0,0,0,1.68857e-05,0,0,1.30249e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13797e-05,0,0,0,0,0,0,1.56775e-05,0,2.71013e-05,0,0,0,0,5.35803e-05,0,0,0,0,0,0,0,0,1.37553e-05,0,0,0.000202981,0,1.72966e-05,0,0,0,0,0,0,0,2.07989e-05,0,0,0,0,0,0,2.46788e-05,0,0,6.4656e-05,0,0,1.22054e-05,0,0,0,0,0,0,0,0,0,0,0,2.5921e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67834e-05,0,0,0,0,0,0,0,0,3.31621e-05,0,0,0,0,0,0,0,0,0,7.82426e-05,7.65721e-05,0,0,0,0,0,0.00012957,0,0.00015981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7942: 5-oxo-L-proline metabolism",0,0,0,0,0,0,0,0,0.000162007,0,0,8.0733e-05,0,0,0,0,0,0,0,6.01752e-05,0,0,0,0,0,0,0,9.05534e-05,0,0,0,0,0,0,0,0,2.72033e-05,0,0.000117672,0,0,0,0,6.3708e-05,0,0,0,0,0,0,0,0,6.65265e-05,0,4.18592e-05,0,0,5.71006e-05,0,2.4656e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000173942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65105e-05,0,0,0,0,0,0,0,0,0,0,0,4.45932e-05,0,0,0,4.61138e-05,0,0,0,0,8.34828e-05,0,0,4.58835e-05,0,0,3.80875e-05,0,0,0,6.2899e-05,0,0,0,0,2.56426e-05,0,4.58514e-05,0,0.000106082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)",0.000361325,0.000274685,0.000441371,0.000450316,0.000394086,0.000487493,0.000509553,0.000531232,0.000437599,0.000299098,0.00025497,0.000374241,0.000173461,0.000467453,0.000538347,0.000372439,0.000501167,0.000408798,0.000390461,0.000199285,0.000317542,0.00035882,0.000187719,0.000296959,0.00031702,0.00037791,0.000583198,0.000262885,0.000429844,0.000352233,0.000509998,0.000393904,0.000581838,0.000439094,0.000617719,0.000308763,0.00027729,0.000502236,0.000281596,0.00053095,0.000315312,0.000412874,0.000306246,0.000371133,0.000403272,0.000418808,0.000306614,0.000479486,0.000293077,0.000464898,0.000414396,0.00034718,0.000322704,0.000245651,0.000287984,0.000307737,0.000592592,0.000460274,0.00063822,0.000305917,0.000258816,0.000493836,0.00031346,0.000393878,0.000388206,0.000206418,0.000436126,0.000440034,0.000374158,0.000297295,0.000265296,0.000218648,0.000233612,0.000171809,0.000170967,0.000319402,0.000324596,0.000321293,0.000246742,0.000541479,0.000377792,0.000246317,0.000430419,0.000622602,0.000449694,0.00017074,0.000565122,0.000139062,0.000307445,0.000492137,0.000320877,0.000339224,0.000300977,0.000602888,0.000564206,0.000193951,0.00029425,0.000429248,0.00047364,0.000256089,0.000287013,0.000537106,0.000520842,0.000422501,0.000277082,0.000278938,0.000339674,0.000392413,0.000341148,0.000215059,0.000477035,0.000448463,0.000456529,0.00026434,0.000347423,0.000402687,0.000371366,0.00037039,0.000403577,0.000353056,0.000390697,0.000144009,0.000219883,0.000362831,0.000352939,0.00030033,0.000393812,0.00036888,0.000219657,0.000132753,0.000186189,0.000337662,0.000348734,0.000260683,0.000291303,0.000237414,0.000383988,0.000318903,0.000455141,0.000414063,0.00039746,0.000388113,0.000259146,0.000509565,0.000276804,0.000314033,0.000303684,0.000255613,0.000313629,0.000260089,0.000212442,0.000228349,0.000209363,0.000475724,0.000345343,0.000136283
"PWY-7977: L-methionine biosynthesis IV",0.000284526,7.74035e-05,0.000180179,0.000289778,0.000320602,0.000480671,0.00047939,0.000363801,0.00051218,0.000215828,0.000136295,0.000242113,0.000152482,0.000232373,0.000364082,0.000236028,0.000488964,0.000449635,0.000226088,0.000166621,0.000169382,0.000354326,0.000165995,0,3.59726e-05,0.000315012,0.000141944,0.000323976,0.000321068,0.000405164,0.000323574,0.000337778,0.00032633,0.000356713,0.000386609,0.000234791,0.000287537,0.000274687,0.000417768,0.000228374,0.000252174,0.000373095,0.000146005,0.000347063,0.000253304,0.0002926,0.000218927,0.000359689,9.27624e-05,0.000555196,0.000279499,0.000191316,0.000352414,4.40368e-05,0.000165218,0.000277786,0.000331685,0.000590532,0.000348659,0.000255293,0.000261937,0.000228021,0.000267701,0.000186985,0.000272193,0.000219596,0.000398118,0.000404272,0.00032196,0.000225488,0.000204745,0.000282814,0.000243079,0.000239098,0.000179731,0.000389123,0.000236902,0,0.000271415,0.000545266,0.000247821,0.000223051,0.000399629,0.000271108,0.000222802,0.000127491,0.000470329,0.000160719,8.16698e-05,0.000642876,0.000318614,0.000383649,0.000152002,0.000280968,0.000422469,6.70477e-05,0.000126105,0.000171258,0.000199901,0.000148865,0.000169158,0.000378885,0.000176585,0.000334379,0.000244405,8.36644e-05,0.000216456,0.000407941,0.000284105,4.17683e-05,0.000631999,0.000427824,0.000331345,0.000150706,0.000232961,0.000228366,0.000367194,0.000408243,0.000406509,0.000354738,0.000264818,0.000116606,0.000150451,0.0003655,0.000254156,0.000209827,0.00038722,0.000377702,0.000126148,0.000191168,0.000100319,0.000115854,0.000397791,0.000297869,0.000248247,0.000297731,0.000260846,0.000254788,0.000489922,0.000282978,0.000339059,0.000338574,0.000148525,0.000494101,0.000151028,0.000379151,0.000251543,0.000104226,0.000314398,0.000177531,0.000140393,0.000184842,0.000160097,0.000384279,0.000164075,5.75322e-05
"PWY-7992: superpathway of menaquinol-8 biosynthesis III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8004: Entner-Doudoroff pathway I",0,0,0,0,5.6062e-05,0.000120027,0.000111618,6.82997e-05,0.000218328,0,0,9.77422e-05,0,0,0,0,6.70115e-05,0,0,6.1931e-05,0,0,0,0,0,0.000129424,5.97328e-05,0.000102942,3.90305e-05,0.000178452,0,0,0,0,0,0,0.000120076,0,6.98456e-05,0,7.65929e-05,0,0,0.000126289,0,0.000100443,0,0,0,0,5.61178e-05,0,0.000197744,0,5.46695e-05,0.000282531,0,0.000177789,0,6.27118e-05,0,0,0.00012204,0,0,9.17553e-05,9.13106e-05,0,5.46759e-05,0,6.89782e-05,0,0.000103141,7.06086e-05,5.76025e-05,0.000225924,6.50889e-05,0,8.80147e-05,6.92196e-05,0,4.27091e-05,0,0,0,0,0,0,0,0.000104724,0.000213511,0,0,6.41539e-05,8.29816e-05,0,0,0,0,0,0.000158533,0,0,0,0,0,0,0.000124387,0,0,0.00012496,8.91414e-05,7.0828e-05,0,4.41764e-05,0,8.40645e-05,0,5.6877e-05,0,0,0,0,0,9.65044e-05,0,0.000167201,0.000227784,5.15094e-05,0,4.77924e-05,0,0,0.000213879,4.59566e-05,0.000147724,0,7.73323e-05,0,0,0.000173343,3.30816e-05,3.26156e-05,0,0,0,3.76673e-05,0,6.42851e-05,0,0,0,0,0,0,0
"PWY-8011: L-serine biosynthesis II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-801: homocysteine and cysteine interconversion",0,0,0,0,0,0,0,0,9.93673e-05,0,0,1.01974e-05,0,0,6.08161e-05,0,0,0,0,0,0,0,0,0,0,0,3.84041e-05,0,0,0,3.03277e-05,0,2.75357e-05,0,0,0,1.61327e-05,0,4.71273e-05,0,1.01663e-05,0,0,7.07351e-05,0,0,0,0,0,2.22392e-05,0,0,2.81946e-05,0,0,0,0,3.63877e-05,2.23967e-05,0,0,0,0,0,0,2.40546e-05,0,0,0,0,0,0,0,0,0,2.81236e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20269e-05,0,0,0,0,0,0,2.58345e-05,0,2.32492e-05,0,0,0,0,0,0,0,6.22082e-06,0,0,0,0,0,0,0,0,1.99945e-05,0,0,0,0,0,0,0,0,0,4.86146e-05,0,0,0,0,3.22094e-05,0,0,0,0,0,0,0,0,2.16713e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8055: palmitoyl ethanolamide biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8073: lipid IVA biosynthesis (P. putida)",0,0,0,0,0,0,0,0,0.000122225,0,0,0.000120288,0,0,0,0,0,0,0,4.33715e-05,0,0,0,0,0,0,3.63563e-05,6.06394e-05,0,0.000218509,0,0,0,0,0,0,0.000165441,0,0.000172727,0,3.43106e-05,0,0,0.000114737,0,0,0,0,0,0,0,0,0.000107823,0,4.67907e-05,0.000190401,0,0.000131587,0,0,0,0,4.91563e-05,0,0,6.80636e-05,0,0,3.5347e-05,0,9.6027e-05,0,0.000164791,6.96842e-05,4.18323e-05,0.00016104,0.000106884,0,0.000164478,0,0,4.87599e-05,0,0,0,4.23007e-05,0,0,0,0,0.000178574,0,0,0,0,0,0,0,0,7.89981e-05,0,0,0,0,0,4.7853e-05,0,3.98148e-05,2.78938e-05,0,0,0.00010498,0,0,0,0,4.55978e-05,0,0,4.92493e-05,7.51397e-05,0,0,0,9.23276e-05,0,0.000239279,0.00025866,0,0,5.55472e-05,0,0,0.000225034,6.89754e-05,9.44175e-05,0,8.0981e-05,4.61494e-05,0.000109082,0.000133687,0,4.13944e-05,0,0,0.000102554,2.5904e-05,5.63392e-05,0.00012644,0,0,0,0,0,0,4.48927e-05
"PWY-8086: (S)-lactate fermentation to propanoate, acetate and hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48989e-05,0,0,0,0,0,8.94836e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93411e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-8112: factor 420 biosynthesis I (archaea)",0,0,0,0,0,0,0,0,0,0,0,0,7.17667e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013531,0,0,0,0,0,3.19286e-05,0,0,2.0597e-05,0,7.75168e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000123989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91028e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7767e-05,0,0,0,0,0,0,0,0,0,3.91656e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57157e-05
