"","SRR6915103_500K_merged_Abundance","SRR6915104_500K_merged_Abundance","SRR6915105_500K_merged_Abundance","SRR6915106_500K_merged_Abundance","SRR6915107_500K_merged_Abundance","SRR6915108_500K_merged_Abundance","SRR6915109_500K_merged_Abundance","SRR6915110_500K_merged_Abundance","SRR6915111_500K_merged_Abundance","SRR6915112_500K_merged_Abundance","SRR6915114_500K_merged_Abundance","SRR6915117_500K_merged_Abundance","SRR6915125_500K_merged_Abundance","SRR6915126_500K_merged_Abundance","SRR6915127_500K_merged_Abundance","SRR6915128_500K_merged_Abundance","SRR6915129_500K_merged_Abundance","SRR6915130_500K_merged_Abundance","SRR6915131_500K_merged_Abundance","SRR6915132_500K_merged_Abundance","SRR6915133_500K_merged_Abundance","SRR6915134_500K_merged_Abundance","SRR6915135_500K_merged_Abundance","SRR6915136_500K_merged_Abundance","SRR6915147_500K_merged_Abundance","SRR6915149_500K_merged_Abundance","SRR6915150_500K_merged_Abundance","SRR6915151_500K_merged_Abundance","SRR6915152_500K_merged_Abundance","SRR6915153_500K_merged_Abundance","SRR6915155_500K_merged_Abundance","SRR6915156_500K_merged_Abundance","SRR6915167_500K_merged_Abundance","SRR6915168_500K_merged_Abundance","SRR6915169_500K_merged_Abundance","SRR6915170_500K_merged_Abundance","SRR6915171_500K_merged_Abundance","SRR6915172_500K_merged_Abundance","SRR6915173_500K_merged_Abundance","SRR6915174_500K_merged_Abundance","SRR6915175_500K_merged_Abundance","SRR6915176_500K_merged_Abundance","SRR6915177_500K_merged_Abundance","SRR6915178_500K_merged_Abundance","SRR6915179_500K_merged_Abundance","SRR6915180_500K_merged_Abundance","SRR6915181_500K_merged_Abundance","SRR6915182_500K_merged_Abundance","SRR6915183_500K_merged_Abundance","SRR6915184_500K_merged_Abundance","SRR6915185_500K_merged_Abundance","SRR6915186_500K_merged_Abundance","SRR6915195_500K_merged_Abundance","SRR6915196_500K_merged_Abundance","SRR6915197_500K_merged_Abundance","SRR6915198_500K_merged_Abundance","SRR6915199_500K_merged_Abundance","SRR6915200_500K_merged_Abundance"
"PWY-622: starch biosynthesis",0,0,0,0,0,0,0,0,0.000138537,0,0,0,0,0,0.000209207,0,0.000160651,0,0,0,0.0001622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223073,0.000147014,0.000206177,0,0,0,0,0,0,0,0,0,0,0,9.35217e-05,0,0,9.55098e-05,0.000108077,0.000160043,0
"PWY-6269: superpathway of adenosylcobalamin salvage from cobinamide II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6270: isoprene biosynthesis I",0.000189808,0.000215133,0.000116115,0.000130336,0,9.43021e-05,0.000261687,0.000204983,0.000278919,0,0.000201283,0.000241532,0.000220491,0.000152564,9.79016e-05,0,0.00015825,0.000126246,0.00010833,0,0.000153989,0.000199807,0,0.000200415,0,0.000186333,0.00012703,0.000152565,0.000141636,0.000240828,0.000318098,0.000272843,0.000222784,8.8791e-05,0.000161705,0.000234816,0.000190564,0,0.00022879,0.000222104,0.000121572,0.000198046,0.000126754,0.000302735,0.00010209,0.000253497,0,0.00020095,0.000252133,0.00010132,0.000204593,0.000225693,0,0.000181392,0.000165356,0.00030198,0.000203757,0
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis",0.00032488,0.000303316,0.000464782,0.000321952,0.000360925,0.000394741,0.000314854,0.000292933,0.000307691,0.000312614,0.000279394,0.00033859,0.000256645,0.000201191,0.000353598,0.000346085,0.000316107,0.000232709,0.000363446,0.000384151,0.00027431,0.000272738,0.000402189,0.000400243,0.000317968,0.000206079,0.000390041,0.000233741,0.000367628,0.000339131,0.000332026,0.000452781,0.00034889,0.000150683,0.000328515,0.000403651,0.000397661,0.000375188,0.000318957,0.000439756,0.00030407,0.00030889,0.000302486,0.00047349,0.000336765,0.000390675,0.000284509,0.0003123,0.000309901,0.000313872,0.00037172,0.000338317,0.000371685,0.000489044,0.000317784,0.00032217,0.000343644,0.000355544
"PWY-6281: L-selenocysteine biosynthesis II (archaea and eukaryotes)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)",0,8.02744e-05,0,0.000210496,0,0,0.000136055,0,5.47289e-05,0,4.66498e-05,0,0.000225192,3.48008e-05,7.37523e-05,0,0,3.03487e-05,0,4.74034e-05,7.80386e-05,0,0,0,0,0,0,0,0,0,0,0,3.99289e-05,0,0,0,0,6.98953e-05,0,7.80406e-05,0,0,4.05464e-05,0,0.000116308,0,0,0,0,6.10997e-05,0,0,0,0,0,0,0,0
"PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)",0,0,0,0.000121332,0,0,0,0,0,0,4.95404e-05,0,0.000141893,0,0,0,0,3.19487e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64779e-05,0,0,0,0,0,0,0,0
"PWY-6285: superpathway of fatty acids biosynthesis (E. coli)",0,0,0,0.000159131,0,0,0,0,0,0,0,0,0.000179012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)",5.71341e-05,4.44574e-05,4.54538e-05,0,3.09518e-05,0,0.000113065,6.18117e-05,0,7.64963e-05,3.77582e-05,4.3973e-05,1.60428e-05,2.6032e-05,0,0,8.52445e-05,4.13631e-05,4.39781e-05,0,5.22764e-05,0,0,0,7.79903e-05,0,3.19322e-05,0,0,3.46694e-05,0,0,9.24352e-05,0,6.48234e-05,0,3.86902e-05,3.94357e-05,3.72183e-05,4.43293e-05,2.6139e-05,0,3.62979e-05,0,6.99428e-05,3.30898e-05,3.61881e-05,0,3.94897e-05,5.17676e-05,9.59114e-05,0,3.40422e-05,3.36245e-05,0.000101417,0,3.19485e-05,0
"PWY-6293: superpathway of L-cysteine biosynthesis (fungi)",0,0,0,3.41715e-05,0,0,0,0,0,0,0,3.77925e-05,2.468e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63979e-05,0,0,0,0,0,0,0,0,0,0,0,3.09911e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6305: superpathway of putrescine biosynthesis",0,5.14873e-05,0,0.000200636,0,7.38186e-05,0.00015048,2.90635e-05,5.22336e-05,4.49367e-05,4.59268e-05,9.95136e-05,0.000182212,2.16098e-05,7.18451e-05,3.32926e-05,0,0,3.74864e-05,0,0,3.30243e-05,0,0,3.81655e-05,7.3191e-05,8.14936e-05,2.63958e-05,2.8141e-05,0.000119012,8.73097e-05,3.31595e-05,4.6128e-05,4.11431e-05,6.17646e-05,3.07564e-05,0.000125949,7.13776e-05,7.55752e-05,6.73254e-05,0,0,2.20401e-05,0.000137153,0.000188951,4.5078e-05,0,4.55533e-05,0,6.40717e-05,4.79141e-05,3.14366e-05,3.41216e-05,2.52577e-05,2.78912e-05,0,4.22089e-05,3.7979e-05
"PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6313: serotonin degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6317: D-galactose degradation I (Leloir pathway)",0.000213656,0.000377934,0.000148578,0.000181516,0.00029482,0.000274841,0.00023239,0.000261835,0.000342615,0.000282946,0.000251032,0.000352097,0.000216158,0.000143427,0.000231935,0.000128459,0.000197548,0.000169438,0.000317393,0.000110935,0.000203752,0.000228852,0.000213265,0.000221229,0.000222021,0.000263908,0.000297564,0.000137111,0.000377564,0.000260606,0.000320359,0.000252514,0.000237234,7.8027e-05,0.000225462,0.00038669,0.000378049,0.000173894,0.000290792,0.000316249,0.00024323,0.000266935,0.000345716,0.000309911,0.000209842,0.000267982,0.000162578,0.000189092,0.000191183,0.000164565,0.000340167,0.000209237,0.000245196,0.000381266,0.000219244,0.000280976,0.000243451,0.000227449
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6328: L-lysine degradation X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6349: CDP-archaeol biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6350: archaetidylinositol biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6351: D-myo-inositol (1,4,5)-trisphosphate biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6353: purine nucleotides degradation II (aerobic)",0,0.000156436,0,0.000212038,0,0,4.31735e-05,0,0,7.24056e-05,0.000123934,4.93334e-05,0.00018848,6.11039e-05,0,4.50726e-05,6.34965e-05,0,6.37246e-05,6.37478e-05,0,0,0,0,6.95685e-05,0,7.8535e-05,0,5.40581e-05,4.97317e-05,9.0071e-05,0,0,5.06705e-05,0,7.03431e-05,6.42696e-05,6.19034e-05,6.16978e-05,8.89078e-05,0,0,6.39979e-05,0,9.17884e-05,5.59004e-05,0,0,0,6.57779e-05,6.01375e-05,5.27152e-05,7.17129e-05,6.21763e-05,0,9.63838e-05,0,0
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)",0.000274801,0.000298714,0.000219319,0.000259539,0.000309735,0.00033314,0.000332394,0.000287279,0.000448186,0.000297062,0.000275907,0.000303011,0.000244413,0.000253475,0.000195824,0.000464701,0.00032278,0.000215684,0.000319226,0.0002915,0.000256936,0.000312094,0.000321642,0.000291926,0.000320229,0.000217975,0.000342735,0.000184267,0.000321829,0.000268564,0.000391384,0.000222481,0.000330953,0.000147558,0.000316275,0.000382198,0.000394142,0.000401129,0.000349282,0.0003156,0.000317185,0.00035105,0.000302649,0.000329017,0.000293564,0.000311683,0.000331433,0.000295127,0.000279917,0.000349008,0.000308413,0.000393386,0.000343177,0.000424085,0.000231404,0.000362504,0.000337955,0.000379094
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)",0.000318943,0.00033214,0.00026054,0.000247776,0.000315004,0.000343674,0.000376923,0.000317349,0.000496245,0.000321921,0.000296807,0.000308892,0.000239682,0.000257354,0.000361965,0.000492662,0.000326992,0.000235475,0.000284244,0.000279607,0.000285903,0.000318184,0.000363205,0.000302649,0.000305236,0.000244442,0.000358222,0.000167888,0.000314636,0.000261943,0.000402412,0.000338004,0.000341459,0.000153596,0.000314793,0.000399451,0.000407906,0.00041176,0.000437782,0.00034397,0.000315778,0.0003894,0.000361702,0.000349346,0.000308134,0.000320414,0.000343894,0.000299719,0.000309394,0.000356978,0.000347033,0.000419061,0.000406577,0.000441805,0.000279807,0.000398604,0.000353087,0.000412589
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)",0.000311989,0.000358256,0.00026487,0.000253251,0.000342577,0.000344414,0.000372093,0.000304272,0.00048284,0.000316527,0.000294921,0.00031909,0.00024886,0.00025074,0.000348278,0.000510243,0.000337211,0.000228066,0.000335255,0.000320801,0.000277311,0.000337299,0.000359277,0.000308555,0.000352316,0.000239229,0.000369313,0.000186228,0.000341177,0.000319853,0.000422112,0.000331249,0.000361911,0.000174821,0.000326152,0.000393339,0.000402721,0.000395752,0.000411585,0.000349582,0.000335526,0.000382795,0.000379568,0.000361694,0.000299139,0.000324564,0.000347163,0.000317696,0.000325081,0.0003642,0.000380861,0.000415496,0.000401746,0.000444833,0.000280008,0.000377042,0.000359362,0.000407516
"PWY-6396: superpathway of 2,3-butanediol biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6415: L-ascorbate biosynthesis V (euglena, D-galacturonate pathway)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6435: 4-hydroxybenzoate biosynthesis III (plants)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6467: Kdo transfer to lipid IVA III (Chlamydia)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)",0,0.000141634,0,0,0,0,0,0,0.000289162,0,0,0,0,0,6.51879e-05,0,0,0,0,0,0,0,9.24923e-05,0,0,0,0,0,0,0,0.00012633,0,0,0,0,0,0,0,0,9.83812e-05,0,7.75766e-05,0,0,0,0.000108528,0,0,7.09732e-05,0,0,0,0,0,0.000121221,0,0.000108174,0
"PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation",0,4.50031e-05,4.48939e-05,7.85312e-05,0,0,0,0,0,8.18357e-05,0.000116247,8.98432e-05,4.39279e-05,1.56129e-05,0,0,6.62539e-05,4.76704e-05,5.17264e-05,0,2.8062e-05,3.75622e-05,0,6.03749e-05,5.1604e-05,3.28775e-05,0,3.36932e-05,3.74255e-05,4.49417e-05,0,4.17798e-05,0,0,3.55022e-05,7.32011e-05,3.39863e-05,0,2.88944e-05,1.51249e-05,4.91758e-05,0,5.25624e-05,3.42537e-05,4.41867e-05,8.79665e-05,0,0,0,3.91803e-05,7.33101e-05,0,4.58295e-05,3.1325e-05,3.63651e-05,0,0,3.41524e-05
"PWY-6518: bile acids epimerization",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6519: 8-amino-7-oxononanoate biosynthesis I",0,8.64863e-05,0,0.000141124,0,0,5.68416e-05,0,6.25671e-05,0,5.27969e-05,0,0.000179691,4.07488e-05,7.36964e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59125e-05,0,0,0,0,7.65119e-05,0,7.79346e-05,0,0,0,0,6.93563e-05,0,0,0,0,7.22077e-05,0,0,0,0,0,0,0,0
"PWY-6527: stachyose degradation",9.64627e-05,0.00025704,0.000104848,0.000232757,0.000299661,0.000244962,0.000121569,0.000130715,0.000200893,0.000186426,0.000211687,0.000303914,0.000178378,0.00012201,0.000119726,0.000123044,0.000168405,0.000178509,0.000277245,0.000112491,5.07021e-05,9.97782e-05,0.000102321,0.000245069,0.000255002,0.000186086,0.000226628,0,0.000428697,0.000178641,0.000307984,0.000172293,0.000174989,8.15525e-05,0.000164588,0.000338299,0.000250798,0.000113397,0.000283661,0.000154242,0.000270886,0.000233005,0.000435271,0.000231114,0.000217424,0.000164256,7.02534e-05,0.000200936,0.000232179,0.000133835,0.000267104,0.000184223,0.000172809,0.000356556,0.000215431,0.000169286,0.00013237,0.000219746
"PWY-6531: mannitol cycle",0,2.0879e-05,0,7.14149e-05,0,0,0,0,0,0,0,0,4.62089e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39282e-05,0,0,0,0,0,0,2.51771e-05,0,0,0,2.31069e-05,5.28551e-05,0,0,0,0,0,0,0,0
"PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III",0,0,0,3.27891e-05,0,0,0,0,0,0,5.85293e-05,0,5.66865e-05,4.56607e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6549: L-glutamine biosynthesis III",0.00013561,0,0,0.000138341,0,0,3.46581e-05,0,0,2.97491e-05,0,0,6.03365e-05,0,0,0,0,0,0,4.11609e-05,0,0,0,5.20096e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73539e-05,7.61317e-05,0,0,0,0,5.01746e-05,0,0,0,7.70345e-05,0,7.50343e-05,0,0
"PWY-6562: norspermidine biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6565: superpathway of polyamine biosynthesis III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6572: chondroitin sulfate degradation I (bacterial)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6588: pyruvate fermentation to acetone",2.64447e-05,0,0,4.92306e-05,0,0,0,0,0,0,0,0,7.3594e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.66302e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation",3.30753e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19483e-05,0,0,0,0,3.44663e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21754e-05
"PWY-6595: superpathway of guanosine nucleotides degradation (plants)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39723e-05,0,0,0,0,0,0,0,9.92958e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6606: guanosine nucleotides degradation II",0,0.000103694,0,0.000119066,0,0,2.3512e-05,0,0,3.84568e-05,7.40836e-05,2.35336e-05,0.000135518,1.98046e-05,0,0,3.15361e-05,0,3.30905e-05,0,2.38679e-05,0,0,0,3.87673e-05,0,4.574e-05,0,2.98262e-05,2.42211e-05,4.48805e-05,0,0,2.0769e-05,0,4.01505e-05,3.6745e-05,2.82937e-05,2.93238e-05,4.32217e-05,0,0,0,2.36654e-05,5.01271e-05,0,0,0,0,3.37401e-05,3.5483e-05,3.09051e-05,3.69975e-05,2.87201e-05,0,0,0,0
"PWY-6607: guanosine nucleotides degradation I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28951e-05,0,0,0,0,0,0,0,1.02183e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6608: guanosine nucleotides degradation III",2.99289e-05,0.000150461,0,0.000371553,7.60926e-05,3.45141e-05,5.86803e-05,4.06222e-05,8.15868e-05,7.33669e-05,0.000105615,5.80833e-05,0.000204254,4.06952e-05,0,4.27904e-05,8.79075e-05,0,6.61097e-05,4.77168e-05,3.46496e-05,3.94447e-05,9.47574e-05,0,7.68333e-05,6.65278e-05,0.000113654,0,7.67505e-05,5.27906e-05,0.000116776,4.69463e-05,0,4.26822e-05,0,0.000110623,0.00012715,0.000109263,4.98094e-05,0.000135098,7.4175e-05,0,4.48297e-05,0.00012848,9.1246e-05,4.19824e-05,4.87013e-05,0,5.56562e-05,6.15513e-05,5.66505e-05,8.7943e-05,8.69139e-05,7.3015e-05,2.60939e-05,8.65005e-05,0,0
"PWY-6609: adenine and adenosine salvage III",0.000247037,0.000422848,0.000210963,0.000304582,0.000421284,0.000317407,0.000368054,0.000299196,0.000410799,0.000358254,0.000357331,0.000444879,0.00023632,0.000249379,0.000199394,0.000211955,0.000204812,0.00024801,0.000206952,0.00032469,0.00031964,0.000361869,0.000330822,0.000373329,0.000328637,0.000360897,0.000400076,0.000248782,0.000408946,0.000456434,0.00034569,0.000408989,0.000306841,0.000208768,0.000328942,0.000435348,0.00042894,0.000320369,0.00042175,0.000409778,0.000336928,0.000358016,0.000335499,0.000349619,0.000253868,0.000359432,0.000328009,0.000384653,0.000340392,0.00037632,0.00037002,0.00023301,0.000360054,0.000474728,0.000232084,0.000341365,0.000308157,0.000430226
"PWY-6612: superpathway of tetrahydrofolate biosynthesis",0,0,0,7.88135e-05,0,0,0,0,0,0,0,0,7.30713e-05,6.62608e-05,0,0,0,0,0,0,0,0,0,5.63177e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000200637,0.000161269,0,0.000205609,0,0,9.88663e-05,0.000111055,0.000158232,0,0.000113535,0.000143594,0.000131967,0,0.000168119,0,0.000103335,0,0,5.18738e-05,0.000173836,5.69532e-05,8.79804e-05,0.000123666,8.67946e-05,0,0.000134033,8.16925e-05,0,0,0,0.000239724,0.000208788,0,0.000202934,0.000108493,9.94196e-05,0.000218565,8.65315e-05,0,0,9.71452e-05,6.37583e-05,0,0.00012939,9.60477e-05,0,0.000110709,0.000103476,2.77625e-05,6.07755e-05,5.39573e-05,8.51368e-05,0,0,0.000126332,0,0
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.000126017,0.000110829,0,0.000149782,0,0,6.16438e-05,0,0,0,9.06978e-05,0,7.91983e-05,0,0,0,0,0.000143361,0,0,0,0.000127125,0.00010412,0.000124241,7.25336e-05,0,0,0,0,0,0,0.000163361,5.09787e-05,0,0,0,0,6.50169e-05,0,0,6.03918e-05,0,6.18523e-05,0,9.29255e-05,5.18975e-05,0,0,9.40984e-05,0,0,6.12242e-05,0,0,0.000103714,6.81677e-05,0,0
"PWY-6641: superpathway of sulfolactate degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6662: superpathway of quinolone and alkylquinolone biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43296e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6700: queuosine biosynthesis I (de novo)",0.000188473,0.000280591,0.000293835,0.000182675,0.000331813,0.000288363,0.000228198,0.000216554,0.000296355,0.000284957,0.000269766,0.000275389,0.000223112,0.000247487,0.000283057,0.000297624,0.000260012,0.000244013,0.000241788,0.000314741,0.00024675,0.000301388,0.000278823,0.000273361,0.000244965,0.000258383,0.000221426,0.000280498,0.000248736,0.000277459,0.000325129,0.000290297,0.000221951,0.000128852,0.000157139,0.000346173,0.000319795,0.000261154,0.000334797,0.000287065,0.000241341,0.000310061,0.000288818,0.000402138,0.000235751,0.000267735,0.000395528,0.000318291,0.000306897,0.000294751,0.000222468,0.000313008,0.000395836,0.000434362,0.000257735,0.000265051,0.000288483,0.000336764
"PWY-6703: preQ0 biosynthesis",0.000116492,0.000132439,0.000100949,0.000218841,9.80407e-05,0.000157187,0.000240849,0.000240771,0.000250412,0.000128159,0.000232058,0.00015686,0.000202494,0.000180635,0,0.000359641,0.000197854,0.000122788,0.000201677,6.41448e-05,7.81222e-05,9.43244e-05,0.000134076,0.000162495,0.000163344,8.12859e-05,9.97154e-05,0.000215772,0.000246187,0.000228992,0.000203092,7.63661e-05,0.000181064,7.66206e-05,0.00013164,0.000191614,0.000197503,0.000206258,0.000161521,9.34822e-05,0.000168983,0.000136759,0.000258114,0.000148653,7.94004e-05,0.000278277,0.000159618,0.000249248,7.94626e-05,0.000209852,8.119e-05,0.000207996,0.000178574,0.000125545,4.77492e-05,0.000184959,0.000160202,0.000107635
"PWY-6708: ubiquinol-8 biosynthesis (early decarboxylation)",0,0,0,2.5717e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6731: starch degradation III",3.73546e-05,0.0001792,0,2.15993e-05,0.000179493,0.000122222,0.000119158,0.000211013,0.000159112,3.09242e-05,0.000200294,0.000108435,0.000208306,0.000107677,6.32324e-05,0,0.000101864,5.01069e-05,0.00016771,6.77105e-05,0,6.59239e-05,3.79853e-05,0,3.74155e-05,4.10049e-05,0.0001626,0.000113608,0.000161177,0,0.000239464,0,0.000150852,5.19275e-05,6.79937e-05,0,0.000274893,0.000299421,0.000181401,0,0.000133048,0,0.000123667,0.000225099,5.01391e-05,0.000268143,0,0.000142286,3.71905e-05,7.44866e-05,0.000126855,3.46207e-05,0,5.97403e-05,0,0.000153774,0.000124725,9.2345e-05
