"","SRR6915091_500K_merged_Abundance","SRR6915092_500K_merged_Abundance","SRR6915093_500K_merged_Abundance","SRR6915094_500K_merged_Abundance","SRR6915095_500K_merged_Abundance","SRR6915096_500K_merged_Abundance","SRR6915097_500K_merged_Abundance","SRR6915098_500K_merged_Abundance","SRR6915099_500K_merged_Abundance","SRR6915100_500K_merged_Abundance","SRR6915101_500K_merged_Abundance","SRR6915102_500K_merged_Abundance","SRR6915113_500K_merged_Abundance","SRR6915115_500K_merged_Abundance","SRR6915116_500K_merged_Abundance","SRR6915118_500K_merged_Abundance","SRR6915119_500K_merged_Abundance","SRR6915120_500K_merged_Abundance","SRR6915121_500K_merged_Abundance","SRR6915122_500K_merged_Abundance","SRR6915123_500K_merged_Abundance","SRR6915124_500K_merged_Abundance","SRR6915137_500K_merged_Abundance","SRR6915138_500K_merged_Abundance","SRR6915139_500K_merged_Abundance","SRR6915140_500K_merged_Abundance","SRR6915141_500K_merged_Abundance","SRR6915142_500K_merged_Abundance","SRR6915143_500K_merged_Abundance","SRR6915144_500K_merged_Abundance","SRR6915145_500K_merged_Abundance","SRR6915146_500K_merged_Abundance","SRR6915157_500K_merged_Abundance","SRR6915158_500K_merged_Abundance","SRR6915159_500K_merged_Abundance","SRR6915160_500K_merged_Abundance","SRR6915161_500K_merged_Abundance","SRR6915162_500K_merged_Abundance","SRR6915163_500K_merged_Abundance","SRR6915164_500K_merged_Abundance","SRR6915165_500K_merged_Abundance","SRR6915166_500K_merged_Abundance","SRR6915188_500K_merged_Abundance","SRR6915189_500K_merged_Abundance","SRR6915190_500K_merged_Abundance","SRR6915191_500K_merged_Abundance","SRR6915192_500K_merged_Abundance","SRR6915193_500K_merged_Abundance","SRR6915194_500K_merged_Abundance","SRR6915201_500K_merged_Abundance","SRR6915202_500K_merged_Abundance","SRR6915203_500K_merged_Abundance","SRR6915204_500K_merged_Abundance","SRR6915205_500K_merged_Abundance","SRR6915206_500K_merged_Abundance","SRR6915207_500K_merged_Abundance","SRR6915208_500K_merged_Abundance","SRR6915209_500K_merged_Abundance","SRR6915210_500K_merged_Abundance","SRR6915211_500K_merged_Abundance","SRR6915212_500K_merged_Abundance","SRR6915213_500K_merged_Abundance","SRR6915214_500K_merged_Abundance","SRR6915215_500K_merged_Abundance","SRR6915216_500K_merged_Abundance","SRR6915217_500K_merged_Abundance","SRR6915218_500K_merged_Abundance","SRR6915219_500K_merged_Abundance","SRR6915220_500K_merged_Abundance","SRR6915221_500K_merged_Abundance","SRR6915222_500K_merged_Abundance","SRR6915223_500K_merged_Abundance","SRR6915224_500K_merged_Abundance","SRR6915225_500K_merged_Abundance","SRR6915226_500K_merged_Abundance","SRR6915227_500K_merged_Abundance","SRR6915228_500K_merged_Abundance","SRR6915229_500K_merged_Abundance","SRR6915230_500K_merged_Abundance"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I",0.000369236,0.000154207,0.000429393,0.000372835,0.000402146,0.000337374,0.000404821,0.000337746,0.000297425,0.000322378,0.000338081,0.000282611,0.000267162,0.000375603,0.000285069,0.000166614,0.000602906,0.000264745,0.000352747,0.000450586,0.000243637,0.000284139,0.000339319,0.0002694,0.000431755,0.000414511,0.00036384,0.000156006,0.000373304,0.000279445,0.0001237,0.000318914,0.00018977,0.000268001,0.000250507,0.000223221,0,0.000405469,0.000386565,0.000322343,0.000122764,0.000237585,0.000313112,0.000372588,0.000340622,0.00025893,0.000338148,0.000370806,0.000356578,0.000466537,0.000298343,0.000169678,0.000246726,0.000379929,0.000289973,0.000307089,0.000489462,0.000167283,0.000268888,0.000198465,0.000330189,0.00022714,0.000280485,0.000408253,0.000304078,0.000444818,0.000195587,0.000363675,0.000322312,0.000350153,0.000274255,0.000311554,0.000380771,0.000296544,0.000387031,0.000313266,0.000141298,0.00031422,0.000674266
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II",0.000397477,0.000139507,0.000430311,0.000436379,0.000417215,0.000406162,0.000398424,0.000355058,0.000289315,0.000323184,0.000321336,0.000331888,0.00029214,0.000399396,0.000323346,0.000446955,0.000619478,0.000380136,0.000366092,0.000492411,0.000226153,0.000289812,0.000361297,0.000282999,0.000439309,0.000512414,0.000386699,0.000402101,0.000390358,0.000270451,0.000535252,0.00032975,0.000311112,0.000294297,0.000254155,0.000250313,0.000720562,0.00044237,0.000419123,0.000434492,0.000674675,0.000253591,0.000366107,0.000355733,0.000330256,0.000493341,0.000316955,0.000356401,0.000377777,0.000442383,0.000373026,0.000167352,0.000284684,0.000418449,0.000306224,0.000323702,0.000512202,0.00021759,0.000293234,0.000215226,0.00035903,0.000267652,0.00027551,0.000414112,0.00044793,0.000408491,0.000222205,0.000389785,0.000340994,0.000371649,0.000287788,0.000391318,0.000450314,0.000300181,0.000464498,0.0003156,0.00036516,0.000321059,0.000724004
"PWY-6123: inosine-5'-phosphate biosynthesis I",0.000313206,0.000161444,0.000508856,0.000304303,0.000231195,0.000264766,0.000323858,0.00028842,0.000299315,0.000212,0.000431326,0.00025815,0.000231375,0.000347554,0.00026861,0.000163707,0.000644384,0.000392035,0.000307153,0.000487455,0.000292588,0.000330209,0.000344097,0.000250346,0.000508888,0.000451823,0.000292919,0.000322696,0.000513932,0.000347417,0.00019332,0.000247178,0.000195475,0.000276911,0.000238529,0.000220728,4.80181e-05,0.000252513,0.0002706,0.00042058,6.93116e-05,0.000175056,0.000226219,0.000336758,0.00036852,0.00017417,0.000311925,0.000403701,0.000308707,0.000492978,0.000295489,0.000251711,0.000284088,0.000405531,0.000209476,0.000209234,0.000447125,0.000266682,0.000228315,0.000181275,0.000251909,0.000231444,0.000288765,0.000444669,0.000458912,0.000425474,0.000274275,0.000241237,0.00031888,0.000281524,0.000270235,0.000301346,0.000327951,0.000243465,0.00041375,0.000316165,8.17991e-05,0.000358041,0.000474193
"PWY-6124: inosine-5'-phosphate biosynthesis II",0.000291683,0.000147345,0.000502098,0.000290643,0.000214603,0.00025903,0.000306379,0.000279472,0.000293735,0.000196946,0.000421801,0.000258213,0.000237558,0.000335584,0.000246278,0.000143825,0.00065558,0.000387187,0.000284288,0.00045889,0.000282074,0.000322393,0.000343995,0.000273006,0.000547548,0.000450996,0.000271996,0.000315031,0.000531734,0.000340034,0.000177328,0.000241413,0.00019484,0.000278035,0.000233952,0.000230998,4.02822e-05,0.000224167,0.000259836,0.000398292,4.35648e-05,0.000156249,0.000207398,0.000314748,0.000372992,0.000156232,0.000316936,0.000384525,0.000307589,0.000563665,0.000358318,0.000236093,0.00028176,0.000387675,0.00021101,0.000190943,0.000449445,0.000260403,0.000212742,0.000198728,0.00022546,0.000227447,0.000279238,0.000435176,0.000459139,0.000409099,0.000409868,0.000248154,0.000315979,0.000285067,0.000252482,0.000291771,0.000319591,0.000242549,0.000416476,0.000313041,7.11058e-05,0.000360409,0.000440501
"PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II",0.000212457,0.00023598,6.99348e-05,0.000328927,0.000280848,0.000320236,0.00015663,0.00035493,5.63548e-05,0.000160017,0.000157267,0.000199042,0.000142652,0.000185175,0.000180246,0.000135412,5.32001e-05,0.000177616,0.000223952,0.000259966,6.36961e-05,0.000184635,0.000153448,0.00037129,0,0.000248881,0.000304739,0.000225107,0.000247366,6.26901e-05,0.000102988,0.000274038,0.000246975,0.000271996,0.000203361,0.000214823,0,0.00030643,0.00018373,6.75803e-05,0,0.000295483,0.000240265,0.000130413,0.000112335,0,0.000151065,0.000125879,0.000192893,0.000190804,9.41834e-05,0.000106097,6.90624e-05,0.000252379,0.000183584,0.000201933,0.000249587,0.000116571,0.000261488,8.04199e-05,5.02878e-05,0.000246691,8.19683e-05,0.000214917,0.000133461,0,0.000119539,0.000331701,7.48867e-05,0.000125625,0.000164959,0.000107602,0.000243994,6.32543e-05,9.58899e-05,0.000215126,0.000177221,0.000259531,0.000478387
"PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II",0.000263424,0.000309841,0.000101631,0.000398093,0.000261129,0.000344123,0.00021725,0.00035176,8.1674e-05,0.000204075,0.000213758,0.000229998,0.000190173,0.000250694,0.0002139,0.000173561,7.66062e-05,0.000258454,0.000329746,0.000337596,9.30168e-05,0.000230155,0.000198847,0.000518811,0,0.000320464,0.000366428,0.000282396,0.00036386,8.91717e-05,0.000137558,0.000322535,0.000326071,0.000324358,0.000313866,0.0002529,0,0.000399911,0.000261833,9.96275e-05,0,0.000376347,0.000310636,0.000173893,0.000162374,0,0.000198248,0.000182835,0.000276997,0.000245721,0.000134411,0.000151965,9.98968e-05,0.00035601,0.000242087,0.000256779,0.000316748,0.00015979,0.000332719,0.000114202,7.35081e-05,0.000300553,0.000115736,0.000302497,0.000211217,0,0.000159918,0.000333096,0.00010863,0.000175301,0.000217377,0.00014339,0.000295437,0.000144826,0.000137779,0.000290457,0.000223451,0.000344859,0.000502632
"PWY-6138: CMP-N-acetylneuraminate biosynthesis I (eukaryotes)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6143: CMP-pseudaminate biosynthesis",0,0,0,0,0,0,3.54754e-05,0,0,0,0,0,0,0,0,0,0,0,0,4.06553e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87807e-05,0,0,0,0,7.43453e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I",0.00011195,5.76724e-05,0.000370032,0.00017434,0.000206651,0.000315062,0.000150696,0.0003185,0.000142375,2.94829e-05,0.000500829,0.000168178,5.95117e-05,0.000178025,0.000124659,0.000292143,0.000248711,8.39471e-05,7.79704e-05,0.000390615,5.91381e-05,0.000209082,0.000132633,0.000169615,0.000255257,0.000456526,0.000263677,0.000246869,0.000127867,0.000137188,0.000394764,0.000182251,0.000165495,0.000135414,6.11045e-05,0.000129,0,0.000100296,0.000215398,0.000168955,0.000388603,6.55785e-05,0.000117359,0.000257458,0.000268431,0.000278907,0.000148749,0.000174894,0.00023972,0.000402347,0.000229165,9.21173e-05,0.000111324,0.000258772,6.79e-05,0.000115507,0.000251264,0.000120435,0.000118427,0.000128897,4.39587e-05,0.000120813,0.00017735,1.59329e-05,0.000320576,0.000156707,7.59335e-05,0.000235995,0.000243292,7.86049e-05,0.000213616,0.000240058,0.000297718,0.000161339,0.000419557,9.16652e-05,0.000198523,6.68286e-05,9.04529e-05
"PWY-6148: tetrahydromethanopterin biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6151: S-adenosyl-L-methionine salvage I",0.00018842,0.000150406,0.000166098,0.000188274,0.0002533,0.00042764,0.000333461,0.000406312,0.000362541,0.000200673,0.000231324,0.000197022,0.000278724,9.43207e-05,0.000160308,0.000363464,0.000146304,0.000250329,0.000327508,0.000393116,0.000223124,0.00010631,0.000110241,0.000194972,0.000246971,0.000335036,0.000261298,0.000279067,0.000351682,0.000191,0.00028134,0.000306843,0.000215549,0.000153755,0.000284462,0.000223202,0.000665085,0.00053137,0.000318111,0.000287346,0.000597065,0.00030785,0.000418169,0.000305691,0.000357058,0.000458628,0.000248969,0.000259236,0.00018316,0.000388573,0.000363122,0.000168204,0.000276702,0.000313932,0.000267147,0.000353221,0.000470278,0.000177622,0.000294695,0.000208703,0.000431491,0.00033557,0.000358606,0.000495623,0.000377923,0.00037827,0.00022247,0.000326968,0.000416582,0.000324345,0.000215012,0.00017385,0.000286708,0.000193908,0.000374632,0.000348493,0.000327242,0.000299544,0.000684788
"PWY-6160: 3-dehydroquinate biosynthesis II (archaea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate",0.000300661,0.000188952,0.000367275,0.000304554,0.000276561,0.000414572,0.00038995,0.000384405,0.000347572,0.000420893,0.000372986,0.000245192,0.000371373,0.000293202,0.00036593,0.000366587,0.000502699,0.000217302,0.000455155,0.000447826,0.000305059,0.00020239,0.000317967,0.000373636,0.000393332,0.000368546,0.00025064,0.000318975,0.000326743,0.000292661,0.000276642,0.000225066,0.000240834,0.000225539,0.000285523,0.000213593,0.000483284,0.000604711,0.000273316,0.000350193,0.000447258,0.000308483,0.000334721,0.000421838,0.000310313,0.000350174,0.000406116,0.000492452,0.000284918,0.000443676,0.000334674,0.000238602,0.000231498,0.000379957,0.000355371,0.000323936,0.000474701,0.000221067,0.00035417,0.000205249,0.000520113,0.000297031,0.000380073,0.00045368,0.00030312,0.000649779,0.000242445,0.000261908,0.000358816,0.000364411,0.000310081,0.000304159,0.000320208,0.000280068,0.000446164,0.000398394,0.000365202,0.000360548,0.000601759
"PWY-6165: chorismate biosynthesis II (archaea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6167: flavin biosynthesis II (archaea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6168: flavin biosynthesis III (fungi)",0,0,0,0.000283341,0.000177068,0.000160646,0,0,0,0,0,4.2594e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020531,0,0,0,0,0.000189016,0.000180367,0.000161065,0,0.000160062,0,0,0,0.000132113,0,0,0,0,0,0,0,0,0.000159772,0.000134996,0,0,0,0,0,0,0,0,0,0,0,0.00010332,0,0,0,0,0,0.000133048,0,0.000137749,0.000139745,0,0,0.000134162,0,0,0,0,0
"PWY-6174: mevalonate pathway II (haloarchaea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6182: superpathway of salicylate degradation",2.9543e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97881e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6185: 4-methylcatechol degradation (ortho cleavage)",3.97671e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69771e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46872e-05,0,3.95171e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6210: 2-aminophenol degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6215: 4-chlorobenzoate degradation",0,0,0,0,2.47259e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-621: sucrose degradation III (sucrose invertase)",0.000122186,0,0,0.000119433,0.000384708,0.000328555,4.27598e-05,0.0002932,4.93075e-05,0.000155716,0,8.05347e-05,0,6.49106e-05,0,0,3.62056e-05,3.41766e-05,0,0,6.6878e-05,3.37623e-05,0,2.70785e-05,0,4.78535e-05,9.56992e-05,3.26495e-05,4.26409e-05,3.45864e-05,0,0.000164218,6.77133e-05,7.68464e-05,0,0.000150739,0,8.35445e-05,3.26545e-05,7.71297e-05,0,3.08622e-05,0,7.85873e-05,6.86491e-05,1.09576e-05,1.81053e-05,0.000128625,3.48068e-05,3.74378e-05,0,6.74772e-05,6.75401e-05,3.06978e-05,3.67515e-05,3.72258e-05,0,6.14583e-05,3.3225e-05,0,0,6.27079e-05,3.46108e-05,4.62647e-05,0,0,0,0.000338917,7.53218e-05,0.000159224,0.000214797,0,5.53249e-05,7.87263e-05,9.28731e-05,0,0,3.0714e-05,4.54662e-05
"PWY-622: starch biosynthesis",0,0,0,0,0,0.000270256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000166374,0,0,0,0,0,0,0,0,0,9.06877e-05,0,0,0.000221129,0,0.000262111,0,0,0,0,0,0,0,0,0
"PWY-6269: superpathway of adenosylcobalamin salvage from cobinamide II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6270: isoprene biosynthesis I",0.000267841,0,0,0.00030152,0.000168073,0.000281922,0,0.000259675,0,0,0,0.000180515,8.19707e-05,0.000202771,9.58624e-05,0,0,0.000190641,0,0,9.31342e-05,8.30326e-05,0.000114955,0.0002212,0,0,0.000308054,0,0,0,0,0.000250185,0.000192091,0.000103962,0.000111747,0.000162876,0,0,0,0.000165293,0,0,0.000196533,0.000151613,0,0,0,0,0.000221523,8.86286e-05,0.000128732,0.000137676,0,0,9.51978e-05,0,0.000174239,8.6288e-05,0,0,0,0.000186956,0,0,0,0,0,0.000235352,0,0.000177888,0.000177067,0.000115412,0,0.000231347,0.000118868,0,0,0,7.0481e-05
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis",0.000397477,0.000139507,0.000430311,0.000436379,0.000417215,0.000406162,0.000398424,0.000355058,0.000289315,0.000323184,0.000321336,0.000331888,0.00029214,0.000399396,0.000323346,0.000446955,0.000619478,0.000380136,0.000366092,0.000492411,0.000226153,0.000289812,0.000361297,0.000282999,0.000439309,0.000512414,0.000386699,0.000402101,0.000390358,0.000270451,0.000535252,0.00032975,0.000311112,0.000294297,0.000254155,0.000250313,0.000720562,0.00044237,0.000419123,0.000434492,0.000674675,0.000253591,0.000366107,0.000355733,0.000330256,0.000493341,0.000316955,0.000356401,0.000377777,0.000442383,0.000373026,0.000167352,0.000284684,0.000418449,0.000306224,0.000323702,0.000512202,0.00021759,0.000293234,0.000215226,0.00035903,0.000267652,0.00027551,0.000414112,0.00044793,0.000408491,0.000222205,0.000389785,0.000340994,0.000371649,0.000287788,0.000391318,0.000450314,0.000300181,0.000464498,0.0003156,0.00036516,0.000321059,0.000724004
"PWY-6281: L-selenocysteine biosynthesis II (archaea and eukaryotes)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)",0.000312673,3.50683e-05,6.05009e-05,0.000339339,0.000294656,0.000424654,0,0.000430379,7.28501e-05,0.000103689,0.000117533,0.000221039,0.000100559,0.000194632,4.79408e-05,0,0.000538343,0.000116555,8.6542e-05,9.22544e-05,7.66586e-05,5.09246e-05,0.000226874,9.23348e-05,0.000142162,0.000216598,0.000257414,0.000143014,4.24835e-05,0,6.92383e-05,0.000328241,0.000284295,9.19595e-05,0,0.000199272,0,9.78707e-05,0.000120409,0.000126078,0,0,4.00189e-05,3.11663e-05,6.33701e-05,4.82277e-05,0,3.72737e-05,7.76896e-05,0.00019775,0.000129113,0.000133718,0.000124553,0.000106153,5.52358e-05,0,0.000146169,0.000135063,0,5.77727e-05,0,0.000148174,0,0.000125009,0,0,9.53e-05,0.000480707,0,0.000166131,8.12912e-05,0,6.47518e-05,0.000355259,0,0.000110147,0,9.99903e-05,0
"PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)",6.41168e-05,0,0,0.000128932,0.000231692,0.000105185,0,0,0,0,0,9.20006e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016018,0,0,0,3.43298e-05,0.000134668,0.00018024,0,0,0.000160418,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107825,0,0,0,7.65347e-05,0,0,0,0,0,0,0,0.000157223,0,9.24328e-05,0,0,0,0.000245916,0,0.000117364,0,0,0,0.000242176,0,0,0,0,0
"PWY-6285: superpathway of fatty acids biosynthesis (E. coli)",9.77177e-05,0,0,0.000187438,0.000264418,0.000170628,0,0,0,0,0,8.09023e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000166768,0,0,0,0,0,0.000217112,0,0,0.000147256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000138827,0,0,0,0,0,0,0,0,0,0,0,0.000107903,0,0,0,0,0,0.000308906,0,0.000128103,0,0,0,0.000271891,0,0,0,0,0
"PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)",7.9816e-05,0,0,0,6.1727e-05,0,0.000100569,0,5.03299e-05,2.97105e-05,6.30873e-05,7.67422e-05,0.000120093,0,0,2.09056e-05,4.09769e-05,4.86485e-05,0.000107051,0.00010886,5.58667e-05,5.18102e-05,4.63199e-05,0,0.000211597,4.9979e-05,0,3.74077e-05,9.61297e-05,8.70322e-05,2.93352e-05,2.9348e-05,0,0,0,1.92999e-05,0,6.78785e-05,0,0.000170931,0,3.71928e-05,2.5145e-05,0.000143652,0.000100244,3.89687e-05,0.000116684,0.000182446,0,8.49809e-05,0,0,8.03495e-05,5.13787e-05,6.51131e-05,5.36497e-05,0,3.44018e-05,6.07342e-05,0,4.43781e-05,0,0.000103186,0,3.39629e-05,0.000117959,8.06133e-05,0.000163042,0.00017313,0.000144085,0,0.00011919,0,0,4.4637e-05,5.73003e-05,0,6.64978e-05,0
"PWY-6293: superpathway of L-cysteine biosynthesis (fungi)",1.90876e-05,0,0,0,3.91794e-05,0,0,0,2.49767e-05,0,0,2.06218e-05,0,0,0,0,0,0,0,0,0,0,1.26769e-05,0,0,0,0,0,0,0,0,4.09256e-05,4.40546e-05,0,0,3.8359e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40969e-05,0,0,0,0,0,0,0,0,0,0,0,3.88198e-05,0,0,0,0,0,9.66937e-05,0,6.54876e-05,0,0,0,0,0,0,0,0,0
"PWY-6305: superpathway of putrescine biosynthesis",0.000300529,0,7.58573e-05,0.000320771,0.000531098,0.000341861,9.70906e-05,0.000376573,0.000109584,0,5.92869e-05,0.000143862,0.000132643,0.000118248,0,0,0.000202556,4.23235e-05,2.82226e-05,0.000109372,4.07268e-05,6.6046e-05,0.000147265,6.35052e-05,0.000151143,0.000129613,0.000217137,0,5.88826e-05,3.41792e-05,4.05262e-05,0.00019139,0.000197963,4.83614e-05,7.61575e-05,0.000146198,0,0.000136571,0,4.96534e-05,0,2.93106e-05,7.61303e-05,8.55814e-05,8.31512e-05,2.07061e-05,4.45358e-05,7.92247e-05,0.000126204,3.57626e-05,9.16676e-05,0.000130297,7.13983e-05,3.78071e-05,0,0,0.000100427,9.40896e-05,3.47935e-05,3.63725e-05,0,7.88825e-05,7.29681e-05,0,0,3.02197e-05,4.79904e-05,0.000226047,6.79908e-05,0.000175345,9.40176e-05,3.08175e-05,5.99385e-05,0.000137982,0,1.07324e-05,0,6.255e-05,0
"PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)",0,0,0,0,3.90205e-06,8.75408e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6313: serotonin degradation",0,0,0,0,5.07009e-06,9.52496e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6317: D-galactose degradation I (Leloir pathway)",9.00656e-05,8.90763e-05,0.000118634,0.000189765,0.000276751,0.000303922,0.000158761,0.000271478,0.000127303,0.000155685,3.12586e-05,8.90297e-05,0.00012466,0,0.000143644,5.70864e-05,0,0.000151733,0.000151673,4.75704e-05,0.000143715,6.65786e-05,0,0,0.000119627,0,0.000161873,0.000149414,0.000162462,0.00012937,0.000197101,0.000219373,0.000174699,2.59402e-05,0.000146629,0.000164953,0,0.000175333,7.84764e-05,0.000220596,0.000165777,0.000103922,0.000121306,0.000226134,5.53426e-05,0.000164316,0.000184972,0.000214292,0,5.33978e-05,0,0.000110609,0.00014536,4.59004e-05,0.000140163,0.000130833,0,0.000143672,9.30144e-05,3.56076e-05,0.00023628,0.000200146,0.000146539,2.50776e-05,3.96999e-05,0.000137943,6.97672e-05,0.00031884,0.000135415,0.000193862,8.36353e-05,8.73333e-05,5.27222e-05,0.000131112,4.57694e-05,0.000239901,0.000135508,0,0.000401374
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",0,0,0,0,3.93078e-05,0,0,0,0,0,0,1.02755e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51228e-05,0,5.53135e-06,0,0,0,4.9003e-05,0,0,0,0,0
"PWY-6328: L-lysine degradation X",0,0,0,3.69509e-05,7.05833e-05,3.37074e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23372e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.71127e-06,0,1.88996e-05,0,0,0,3.43115e-05,0,0,0,0,0
