"","SRR6915091_merged_Abundance","SRR6915092_merged_Abundance","SRR6915093_merged_Abundance","SRR6915094_merged_Abundance","SRR6915095_merged_Abundance","SRR6915096_merged_Abundance","SRR6915097_merged_Abundance","SRR6915098_merged_Abundance","SRR6915099_merged_Abundance","SRR6915100_merged_Abundance","SRR6915101_merged_Abundance","SRR6915102_merged_Abundance","SRR6915113_merged_Abundance","SRR6915115_merged_Abundance","SRR6915116_merged_Abundance","SRR6915118_merged_Abundance","SRR6915119_merged_Abundance","SRR6915120_merged_Abundance","SRR6915121_merged_Abundance","SRR6915122_merged_Abundance","SRR6915123_merged_Abundance","SRR6915124_merged_Abundance","SRR6915137_merged_Abundance","SRR6915138_merged_Abundance","SRR6915139_merged_Abundance","SRR6915140_merged_Abundance","SRR6915141_merged_Abundance","SRR6915142_merged_Abundance","SRR6915143_merged_Abundance","SRR6915144_merged_Abundance","SRR6915145_merged_Abundance","SRR6915146_merged_Abundance","SRR6915157_merged_Abundance","SRR6915158_merged_Abundance","SRR6915159_merged_Abundance","SRR6915160_merged_Abundance","SRR6915161_merged_Abundance","SRR6915162_merged_Abundance","SRR6915163_merged_Abundance","SRR6915164_merged_Abundance","SRR6915165_merged_Abundance","SRR6915166_merged_Abundance","SRR6915188_merged_Abundance","SRR6915189_merged_Abundance","SRR6915190_merged_Abundance","SRR6915191_merged_Abundance","SRR6915192_merged_Abundance","SRR6915193_merged_Abundance","SRR6915194_merged_Abundance","SRR6915201_merged_Abundance","SRR6915202_merged_Abundance","SRR6915203_merged_Abundance","SRR6915204_merged_Abundance","SRR6915205_merged_Abundance","SRR6915206_merged_Abundance","SRR6915207_merged_Abundance","SRR6915208_merged_Abundance","SRR6915209_merged_Abundance","SRR6915210_merged_Abundance","SRR6915211_merged_Abundance","SRR6915212_merged_Abundance","SRR6915213_merged_Abundance","SRR6915214_merged_Abundance","SRR6915215_merged_Abundance","SRR6915216_merged_Abundance","SRR6915217_merged_Abundance","SRR6915218_merged_Abundance","SRR6915219_merged_Abundance","SRR6915220_merged_Abundance","SRR6915221_merged_Abundance","SRR6915222_merged_Abundance","SRR6915223_merged_Abundance","SRR6915224_merged_Abundance","SRR6915225_merged_Abundance","SRR6915226_merged_Abundance","SRR6915227_merged_Abundance","SRR6915228_merged_Abundance","SRR6915229_merged_Abundance","SRR6915230_merged_Abundance"
"PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation",4.05305e-05,1.59807e-05,4.16882e-05,0.000179837,0.000153037,1.80996e-05,8.84859e-05,8.82215e-06,0.000104988,7.81805e-05,3.31439e-05,0.000135564,8.40809e-05,2.15355e-05,5.99563e-05,5.23546e-05,3.98725e-05,3.32802e-05,7.23124e-05,2.86546e-05,7.29786e-05,5.50472e-05,5.67156e-05,4.02998e-05,9.9908e-05,8.64802e-05,5.78721e-05,2.82266e-05,6.55414e-05,8.54143e-05,7.41921e-05,8.28747e-05,0.000103565,3.49704e-05,8.71513e-05,0.000120285,2.36419e-05,0.000155895,6.76906e-05,0.000109857,1.42537e-05,4.07198e-05,6.63483e-05,5.3526e-05,5.95043e-05,5.13029e-05,5.10805e-05,0.000127477,7.80615e-05,8.03614e-05,2.04762e-05,9.45292e-05,0.000126496,6.86233e-05,8.67327e-05,4.79198e-05,9.5412e-05,9.38874e-05,3.95796e-05,7.69511e-05,7.67182e-05,6.59819e-05,6.16812e-05,3.66379e-05,3.26328e-05,5.56003e-05,3.89607e-05,0.000260935,6.38941e-05,9.30294e-05,6.94948e-05,6.2708e-05,3.28865e-05,0.000131187,9.02518e-05,0.000136937,4.2928e-05,0.000104976,1.79808e-05
"PWY-6518: bile acids epimerization",0,0,0,0,0,0,0,0,0,0,0,1.30789e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35442e-06,0,0,0,0,0,0,0,0,0,0,0,0,2.25226e-06,0,0,0,0,2.6664e-06,0,0,1.27386e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6795e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86318e-06
"PWY-6519: 8-amino-7-oxononanoate biosynthesis I",0.000257599,7.81989e-05,0.00012082,0.000250669,0.000348217,0.000381024,0.000104462,0.000397681,0.000175135,0.000146145,0.000154635,0.000215434,0.000120189,0.000173514,7.1993e-05,1.42828e-05,0.00029869,0.000124008,8.97234e-05,0.000111082,0.000141389,0.000165959,0.00016596,7.66868e-05,0.000188019,0.000258056,0.000323286,0.000105701,0.000120194,6.98277e-05,7.92417e-05,0.000316475,0.000264982,0.000173529,8.31476e-05,0.000223968,0,9.66758e-05,0.000107515,0.000121887,1.94101e-05,0.000104243,0.000106871,8.95207e-05,0.000112308,5.83269e-05,7.4973e-05,0.000106384,0.00015868,0.000269085,0.000179726,0.000163452,0.000146733,0.000147287,8.14518e-05,4.78395e-05,0.000290531,0.000176551,3.81099e-05,5.15307e-05,1.82324e-05,0.000162172,8.93964e-05,0.000135803,5.3415e-05,3.88365e-05,0.000104536,0.00040679,7.12629e-05,0.000184165,0.000149576,4.8948e-05,0.000108497,0.000281241,4.69861e-05,0.000107726,2.05787e-05,0.000138014,4.77662e-05
"PWY-6527: stachyose degradation",0.00010008,0.000366475,8.88193e-05,0.000198137,0.000269305,0.000300947,0.000128961,0.000295532,0.000173211,0.000182709,6.86892e-05,0.000151777,7.56193e-05,8.55661e-05,0.000285057,0.000104145,3.91665e-05,0.000145024,6.38628e-05,2.42574e-05,0.000182784,0.00011072,5.89886e-05,5.59931e-05,0.000111585,4.18699e-05,0.000238626,0.000164384,0.000129785,0.000118785,0.000151245,0.000168433,0.000179699,7.02739e-05,0.00012164,0.000201559,0.000189997,0.000154836,0.000168829,0.000179101,0.000101203,0.000215048,0.000191598,0.000157609,0.000167041,0.000157882,0.000193002,0.000203481,8.93151e-05,7.47878e-05,2.30042e-05,0.000157555,0.000173422,0.000113397,0.000173404,0.000158967,3.62536e-05,0.000196598,0.000136149,0.000109069,0.000178824,0.000193574,7.09462e-05,9.73874e-05,8.23768e-05,0.000131685,0.000120333,0.000211629,9.35609e-05,0.000145894,8.90675e-05,9.69588e-05,0.000167256,0.000181744,0.000110171,0.000127848,0.000204369,8.58853e-05,7.48434e-05
"PWY-6531: mannitol cycle",6.31297e-05,1.50049e-06,1.3338e-05,0.000100293,0.00040223,3.13086e-05,6.11616e-06,1.0761e-06,2.67923e-05,1.86163e-06,2.16815e-05,7.69861e-05,9.85997e-06,6.11461e-06,0,8.72013e-07,5.35264e-05,4.52834e-06,7.48527e-06,7.72379e-06,2.2672e-05,1.987e-05,4.29711e-05,4.21993e-05,2.9411e-06,0,0.000131214,7.08853e-06,4.39219e-06,0,2.26357e-05,8.4017e-05,7.74366e-05,3.23855e-05,2.45192e-05,0.000116944,1.88122e-06,5.00347e-06,2.562e-05,1.78045e-05,1.55288e-06,8.04461e-06,1.67584e-05,5.75105e-06,8.56475e-06,1.64969e-05,6.24721e-06,1.78389e-05,3.12715e-05,3.93837e-05,1.31398e-05,2.26334e-05,3.97102e-05,2.85433e-06,1.66436e-06,4.76537e-06,2.53566e-05,1.49201e-05,3.14484e-06,3.06868e-06,0,5.43745e-05,4.2977e-06,3.61142e-05,3.15415e-06,1.80045e-06,1.86181e-05,0.00018992,9.66364e-06,6.66479e-05,3.85782e-05,1.74082e-06,1.14239e-05,9.26461e-05,7.7007e-06,7.60248e-06,3.28545e-06,1.37444e-05,1.98397e-05
"PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III",8.5109e-05,1.72269e-05,1.40289e-05,7.59566e-05,0.000125177,5.93923e-05,0,5.05412e-07,6.07004e-05,4.6626e-05,2.39957e-06,7.61349e-05,1.62067e-05,2.14677e-05,1.2803e-05,0,0,0,4.05282e-06,9.76848e-06,0.000147091,4.30017e-05,4.048e-05,2.45471e-05,0,6.05987e-06,0.000122153,4.29939e-06,2.99591e-05,1.4331e-05,4.17992e-05,8.67542e-05,0.000119392,3.26299e-05,5.69066e-05,9.15114e-05,8.9633e-06,5.42339e-05,2.03997e-05,1.44708e-05,0,6.11137e-06,2.85534e-05,0,0,3.08536e-05,0,3.23228e-05,7.64474e-05,7.36499e-05,0,7.92019e-05,4.4732e-05,3.30796e-06,3.17158e-05,1.08929e-05,2.21291e-05,7.84098e-05,6.276e-06,1.05216e-05,4.72797e-05,6.31126e-05,1.60407e-05,5.73543e-05,1.38051e-05,1.26769e-05,2.2746e-05,0.000201682,2.03097e-05,9.84637e-05,3.99299e-05,1.31546e-05,2.77753e-06,9.69463e-05,1.6887e-05,7.72798e-06,0,2.43234e-05,3.24273e-05
"PWY-6549: L-glutamine biosynthesis III",4.54097e-05,4.23934e-05,2.42311e-05,6.77978e-05,0,0,2.13654e-05,0,6.63922e-05,1.96226e-05,1.75351e-05,8.73446e-05,7.70518e-05,1.78051e-05,7.1782e-06,1.5136e-05,2.73973e-05,4.70684e-06,9.149e-05,5.87173e-05,2.85494e-05,2.58656e-05,1.03479e-05,3.98077e-06,2.38304e-05,2.28551e-05,9.47328e-05,0,8.26962e-05,0,6.96032e-05,8.3208e-05,8.60926e-05,1.41393e-05,6.45547e-05,3.93979e-05,7.91336e-06,6.27996e-05,6.05701e-05,3.35108e-05,7.16381e-06,3.35845e-05,5.39844e-05,9.01561e-05,2.04478e-05,1.89457e-05,6.58709e-05,7.03122e-05,5.17841e-05,6.55474e-05,6.24747e-06,5.88084e-05,8.08939e-05,4.67626e-06,5.80718e-05,4.09907e-05,2.2796e-05,6.92173e-05,4.04748e-05,3.09789e-05,3.46153e-05,0.000106887,2.18108e-05,6.75518e-05,2.28835e-05,2.66007e-05,7.87061e-05,5.37429e-05,2.57859e-05,0.000112466,4.34299e-05,5.55921e-05,2.40279e-05,0.000124178,3.63749e-05,5.83122e-05,4.91403e-05,3.14969e-05,0.000218055
"PWY-6562: norspermidine biosynthesis",2.44883e-06,0,0,4.59118e-07,0,0,0,0,0,0,7.44763e-07,0,3.71424e-07,0,0,0,0,0,0,0,0,0,1.34018e-06,0,0,0,0,0,0,0,2.02145e-06,0,0,0,0,0,0,9.81611e-07,0,0,0,1.08895e-06,1.89687e-06,0,0,0,0,0,1.51957e-05,3.58179e-06,0,2.46654e-06,0,0,0,6.16113e-07,0,4.01353e-06,0,0,0,0,0,0,0,0,0,0,8.00033e-07,0,0,0,0,0,0,0,0,0,4.53639e-06
"PWY-6565: superpathway of polyamine biosynthesis III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22356e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6572: chondroitin sulfate degradation I (bacterial)",3.50896e-06,0,6.57206e-06,0,0,0,3.2634e-06,0,0,0,2.75463e-05,1.96983e-05,6.19106e-07,2.31562e-05,1.21542e-05,3.52259e-06,1.59075e-05,3.08403e-05,7.81949e-06,3.02386e-06,1.07837e-05,1.7357e-05,0,2.01325e-05,4.35779e-06,0,1.76611e-06,3.40671e-05,3.42974e-05,1.20623e-05,1.72902e-06,5.0987e-06,2.09942e-05,4.54602e-06,3.4399e-06,4.06962e-06,6.79695e-06,0,0,2.07179e-05,1.96619e-06,7.12814e-06,6.95549e-06,7.81862e-06,1.74871e-05,1.07311e-05,8.42947e-06,1.29715e-05,6.17567e-05,0,4.20415e-05,8.63868e-06,1.12877e-05,1.75703e-05,0,1.58891e-05,5.07747e-05,8.63398e-06,1.08213e-05,1.38073e-06,0,6.00946e-06,2.05527e-05,0,7.58554e-06,0,4.61439e-06,0,5.40097e-06,3.53944e-06,3.20756e-06,5.04091e-07,0,0,0,9.02957e-06,0,6.22072e-06,0
"PWY-6588: pyruvate fermentation to acetone",2.57816e-05,5.54689e-06,1.55099e-05,2.14331e-05,0.000119479,2.47604e-06,0,2.81339e-07,4.22232e-05,7.58634e-06,7.10839e-06,4.46854e-05,5.46268e-05,2.18945e-05,9.36159e-06,4.93749e-06,2.4414e-05,3.54465e-06,7.02481e-06,2.38439e-05,8.52672e-06,2.00359e-05,2.00682e-05,0,2.83214e-05,4.85431e-06,6.74324e-05,2.39752e-06,2.74924e-05,9.93731e-06,8.37464e-07,2.22321e-05,2.65574e-05,1.11857e-05,5.24837e-06,4.1284e-05,0,8.29221e-07,1.81623e-05,7.57291e-06,4.28868e-06,1.3369e-05,4.16291e-05,4.42544e-06,1.43773e-05,2.58623e-05,6.84496e-06,2.04928e-06,2.63565e-05,0.000125615,9.38198e-06,5.33938e-06,2.31682e-05,5.94905e-06,3.44366e-06,1.7316e-05,2.39218e-05,6.13007e-06,1.19463e-05,5.27922e-06,1.18727e-05,2.96636e-05,1.62348e-06,2.11168e-05,1.38387e-05,6.95955e-06,3.23452e-05,7.85597e-05,2.45617e-05,4.59257e-05,3.13521e-05,6.98172e-05,0,0.000207589,0.000137034,2.21833e-06,0,7.08644e-05,1.14094e-05
"PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation",5.39773e-05,3.17789e-05,2.75101e-05,2.61076e-05,0,0,3.04513e-05,0,9.84659e-05,1.18078e-05,1.98161e-05,3.39918e-05,9.85536e-05,5.07304e-05,4.46094e-05,4.71068e-05,5.83281e-05,2.45422e-05,5.41327e-05,4.44149e-05,3.64553e-05,2.58929e-05,4.44974e-05,5.82056e-06,4.25955e-05,3.8371e-05,8.54003e-06,1.7211e-05,2.08613e-05,2.63447e-05,5.21916e-06,2.8471e-05,5.14605e-06,2.05295e-05,3.21962e-05,4.72193e-06,0,4.17737e-05,4.74214e-05,1.31603e-05,8.42374e-06,2.3625e-05,5.79188e-05,5.00043e-05,6.13002e-05,5.06845e-05,4.19094e-05,5.42558e-05,4.8547e-05,3.32879e-05,0,2.52472e-05,4.49645e-05,3.40025e-05,5.85215e-05,6.17109e-05,5.18548e-05,4.18381e-05,5.16052e-05,2.489e-05,6.19289e-05,4.76662e-05,1.64679e-05,3.83785e-05,4.46507e-05,3.56418e-05,4.88189e-05,0,2.79215e-05,0.00010838,5.58056e-05,5.31916e-05,2.55336e-05,0.000127794,0.000121509,7.04874e-05,3.16268e-05,0.000102428,3.89958e-05
"PWY-6595: superpathway of guanosine nucleotides degradation (plants)",1.61252e-05,2.56647e-06,1.37954e-05,0,1.19924e-06,0,5.39836e-06,8.02441e-07,1.93482e-05,2.82977e-05,0,2.76966e-06,8.14354e-06,4.62659e-06,6.33091e-06,2.07857e-06,6.67834e-06,5.30048e-06,1.3175e-05,6.80363e-06,2.49126e-05,1.65097e-05,2.45665e-05,1.15444e-05,7.84008e-06,2.25763e-05,0,2.06723e-06,1.12687e-05,2.13862e-05,5.78044e-06,5.39441e-06,3.26106e-06,9.68225e-06,7.40417e-06,2.31439e-06,0,1.27782e-05,5.61922e-06,4.84341e-06,5.08803e-06,1.32268e-05,2.36702e-05,1.55782e-06,6.38164e-06,4.73191e-06,1.39928e-06,2.52718e-06,1.34719e-06,1.83491e-05,1.69156e-06,7.43135e-06,3.02584e-05,1.83266e-05,1.31164e-05,1.19301e-05,2.34798e-06,7.70406e-06,7.20292e-06,1.50054e-05,1.44595e-06,1.21148e-05,4.67519e-06,2.33866e-05,1.70876e-05,1.23587e-05,1.24188e-05,0.000151332,0,3.28102e-05,6.31443e-05,9.17264e-06,1.72464e-05,6.14721e-06,1.58171e-05,1.22316e-05,1.46848e-06,1.20062e-05,4.3721e-05
"PWY-6606: guanosine nucleotides degradation II",8.58151e-05,1.6123e-05,1.93727e-05,0.000131278,0.000349298,2.39683e-05,9.39495e-06,2.06403e-06,7.27807e-05,5.31213e-05,1.53925e-05,0.000115621,2.59983e-05,4.061e-05,2.68848e-05,1.10024e-05,2.48661e-05,9.62379e-06,2.35419e-05,1.42751e-05,4.09886e-05,3.77367e-05,7.63635e-05,3.749e-05,3.48796e-05,2.86105e-05,8.95746e-05,9.26942e-06,5.35496e-05,2.80167e-05,3.13476e-05,9.72709e-05,0.000111085,6.93331e-05,4.18953e-05,0.000190253,6.42775e-06,3.15811e-05,5.48377e-05,3.44712e-05,8.63977e-06,4.05185e-05,6.60991e-05,4.21176e-05,2.4147e-05,3.09873e-05,5.5413e-05,2.80995e-05,4.48722e-05,0.000174993,1.95074e-05,2.78037e-05,4.91546e-05,2.17934e-05,1.78489e-05,3.02297e-05,3.71031e-05,3.77014e-05,2.55256e-05,1.76624e-05,1.69262e-05,0.000102981,9.79247e-06,7.99206e-05,2.26982e-05,1.63415e-05,5.74518e-05,0.000352843,2.41548e-05,8.33195e-05,7.49835e-05,4.24721e-05,2.7446e-05,0.000121309,9.41824e-05,5.49338e-05,4.13404e-06,2.77811e-05,5.48678e-05
"PWY-6607: guanosine nucleotides degradation I",1.62415e-05,2.54046e-06,1.93727e-05,0,1.20001e-06,0,6.48226e-06,7.97032e-07,2.03185e-05,3.04068e-05,0,2.78067e-06,8.15536e-06,4.64397e-06,6.41729e-06,2.13885e-06,6.57603e-06,5.47959e-06,1.45233e-05,5.66309e-06,2.70119e-05,1.78929e-05,2.61468e-05,8.82379e-06,8.0948e-06,2.13014e-05,0,2.07005e-06,1.16726e-05,2.80167e-05,6.04287e-06,5.46599e-06,3.28404e-06,9.86224e-06,7.70384e-06,2.31882e-06,0,1.40162e-05,5.74744e-06,4.92251e-06,5.3714e-06,1.35672e-05,2.5535e-05,1.56492e-06,6.4538e-06,4.82087e-06,1.40178e-06,2.58832e-06,1.34717e-06,1.86467e-05,1.6868e-06,7.29038e-06,3.40361e-05,1.85162e-05,1.51829e-05,1.28541e-05,2.3531e-06,7.65236e-06,7.55281e-06,1.76624e-05,1.47474e-06,1.24106e-05,9.79247e-06,2.466e-05,1.65915e-05,1.63415e-05,1.29277e-05,0.000155367,0,3.62615e-05,6.6298e-05,9.44234e-06,1.79891e-05,6.21219e-06,1.61739e-05,1.22399e-05,1.64314e-06,1.33993e-05,5.48678e-05
"PWY-6608: guanosine nucleotides degradation III",0.000145537,6.00623e-05,3.47612e-05,0.000463464,0.00063754,0.000148859,7.69254e-05,5.73206e-06,0.000163492,9.02591e-05,2.36728e-05,0.000228476,5.55428e-05,7.63045e-05,4.66694e-05,1.994e-05,8.78142e-05,1.73237e-05,4.74148e-05,2.69361e-05,6.68986e-05,8.10178e-05,0.000176572,4.96856e-05,6.07197e-05,3.2262e-05,0.000447233,2.17071e-05,0.000109329,4.35474e-05,0.000108129,0.000318047,0.000350607,0.000112761,0.000129427,0.00033078,1.14957e-05,9.27868e-05,0.000161737,5.29984e-05,1.38322e-05,6.37789e-05,0.00017205,6.74447e-05,4.56837e-05,4.89262e-05,8.66173e-05,0.000137868,9.8531e-05,0.000317828,5.63032e-05,0.000105164,0.000111655,4.64086e-05,4.05328e-05,6.74938e-05,7.16334e-05,0.000101528,5.07866e-05,2.89511e-05,5.54957e-05,0.000263173,1.43555e-05,0.000186136,4.17522e-05,2.20518e-05,0.000130148,0.000442349,9.14075e-05,0.000313657,0.000119634,7.20146e-05,4.66888e-05,0.000318917,0.000151817,0.000111778,4.10478e-05,0.000101059,7.45701e-05
"PWY-6609: adenine and adenosine salvage III",0.000405825,0.000729486,0.000620115,0.000419192,0.00035314,0.000365898,0.000772484,0.0004091,0.000550875,0.00050923,0.000565596,0.000417499,0.000426066,0.000465376,0.000600248,0.000522231,0.000721027,0.00048708,0.000632798,0.000545902,0.00058185,0.000517693,0.000476884,0.000554299,0.000615509,0.000527004,0.000372861,0.000483115,0.000588115,0.000741968,0.00041934,0.000425969,0.000342592,0.00034905,0.000560447,0.000336804,0.00112023,0.000630608,0.000708143,0.000583199,0.00068403,0.000608444,0.000580674,0.000579701,0.000672916,0.000453663,0.000587841,0.000623206,0.000504421,0.00060893,0.000452266,0.000381739,0.000527956,0.00057867,0.000528142,0.000700436,0.000522919,0.000433403,0.000586389,0.000554138,0.000806165,0.000522107,0.000685736,0.00053562,0.000524949,0.000945092,0.000516176,0.000428662,0.000666713,0.000496964,0.000425064,0.000496162,0.000588851,0.000340701,0.000476255,0.000648719,0.000627652,0.00053875,0.000614432
"PWY-6612: superpathway of tetrahydrofolate biosynthesis",1.8671e-05,0,3.97238e-06,6.9244e-05,0.000182995,5.05351e-05,0,2.5006e-06,1.69125e-05,3.20024e-06,0,4.26703e-05,2.57297e-05,1.41439e-05,0,0,0,1.86504e-06,2.13058e-06,1.21813e-06,5.17811e-06,2.21945e-05,2.3727e-05,0,3.55862e-06,0,7.98451e-05,0,1.29325e-05,0,1.77577e-05,5.76733e-05,8.68688e-05,2.35326e-05,1.26403e-05,9.31044e-05,0,3.99328e-06,2.63728e-05,7.07862e-06,0,7.2508e-06,3.83008e-05,4.96674e-06,3.42944e-06,4.15373e-06,4.80669e-06,8.57175e-06,5.3786e-06,3.47449e-05,0,2.58267e-05,1.32708e-05,5.16901e-06,0,1.26035e-06,5.66551e-06,3.82603e-05,0,9.24042e-06,0,0.000119782,8.47084e-07,2.5723e-05,0,6.00101e-06,1.73281e-05,0.000102786,3.04324e-06,4.04373e-05,1.0652e-05,0,6.62657e-07,5.93134e-05,3.05646e-06,8.61183e-07,0,6.03452e-06,4.35082e-05
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000155201,9.89275e-05,9.10321e-05,0.000171643,0.000187292,0.000403955,0.000172258,0.000378867,0.000157586,4.08848e-05,5.80587e-05,0.000155879,0.000171689,0.000157574,0.000122991,3.62998e-05,7.68011e-05,0.000126807,0.000198352,0.000206658,0.000181944,0.000150636,0.0001787,0.000257047,7.49639e-05,0.000249023,0.000180869,0.000144696,0.000205832,0.000156657,5.82978e-05,0.000157928,0.000173798,6.8781e-05,0.000155713,0.00014196,2.49785e-05,0.000201496,4.9482e-05,0.00015464,3.323e-05,0.000106326,0.000137058,0.000117096,8.65517e-05,0.000113996,8.27903e-05,0.000173204,0.000172887,0.000216196,7.25498e-05,9.54114e-05,0.000196726,0.000126018,0.000291649,0.000133223,8.0314e-05,0.000129427,0.000117287,0.000153185,9.69323e-05,0.000138169,0.0001573,9.66248e-05,0.000108275,0.000151654,0.000186779,0.000288952,0.000121736,0.000312917,0.00021382,0.000108521,0.000108415,0.000174267,0.000139612,0.000202678,0.000114323,0.000197558,0.00014025
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.000103013,7.13813e-05,7.78347e-05,0.000105513,0.000133973,0.000370907,0.0001389,0.000371569,0.000129245,3.77569e-05,2.64907e-05,7.20616e-05,6.32396e-05,0.000153108,0.000209793,9.84842e-06,2.37004e-05,0.000105572,0.000147968,4.99517e-05,0.000160718,0.000126877,0.000120924,0.00024162,0.000189228,0.000221594,6.8762e-05,0.000109862,9.74962e-05,0.000157173,2.28823e-05,9.60594e-05,9.28006e-05,5.37661e-05,3.23967e-05,7.71144e-05,1.11025e-05,4.61585e-05,4.18217e-05,0.000167723,2.92511e-05,9.13833e-05,9.21474e-05,8.96876e-05,7.97244e-05,0.000111022,6.79017e-05,8.26327e-05,0.000121529,7.52775e-05,5.74676e-05,7.02017e-05,0.000117702,0.000103023,0.000162025,0.000116942,2.87573e-05,9.69511e-05,0.000102834,0.00010721,7.07608e-05,0.000107857,0.000109471,7.16992e-05,6.79342e-05,8.66939e-05,0.000139342,0.000244629,5.54637e-05,0.000185483,0.00016261,7.98558e-05,0.000103932,0.000149088,8.2995e-05,0.000175796,7.89699e-06,0.00014623,8.73242e-05
"PWY-6641: superpathway of sulfolactate degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6662: superpathway of quinolone and alkylquinolone biosynthesis",0,0,0,6.65425e-06,0,0,0,0,0,0,0,0,0,7.72842e-06,0,0,0,0,0,0,0,0,1.44402e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29289e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56559e-06,0,0,0,0,0,0,0,0,0,0,0
"PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate",4.52944e-05,0,3.77253e-06,8.11951e-05,0.000217275,2.73541e-05,0,3.5813e-07,7.03982e-07,0,0,3.40228e-05,2.46092e-07,0,0,0,0,0,0,0,1.22182e-06,1.31823e-05,1.4617e-05,0,0,0,0.00013449,0,0,0,2.63231e-05,0,1.16173e-06,1.78965e-05,8.21867e-06,6.45482e-05,0,1.49206e-06,1.27483e-05,3.50105e-06,0,5.72915e-07,1.01509e-05,0,0,3.14113e-06,0,4.66666e-06,1.16396e-05,2.59138e-05,0,2.13547e-05,1.34496e-05,0,0,0,0,1.61419e-05,0,6.69999e-07,0,2.64451e-05,0,2.29746e-05,0,5.21213e-06,8.13683e-06,0.000102739,2.32577e-06,6.20605e-05,7.90557e-06,0,0,9.40085e-05,2.2377e-06,1.93074e-06,0,1.11579e-05,9.72712e-06
"PWY-6700: queuosine biosynthesis I (de novo)",0.000272363,0.000511439,0.000389691,0.000233329,0.000272534,0.000372602,0.000569332,0.000391006,0.000394621,0.000402071,0.000503562,0.000332213,0.000271773,0.000489791,0.000533607,0.000795069,0.000357962,0.000533333,0.000568417,0.000556112,0.000504409,0.000405224,0.000320517,0.000450939,0.000455466,0.000540695,0.000326031,0.000523003,0.000541754,0.000534178,0.000487262,0.000362963,0.000320116,0.000261192,0.000440681,0.000255778,0.00113414,0.000589659,0.000408563,0.000514095,0.000927532,0.000527851,0.00049303,0.000528915,0.000627947,0.00059978,0.000508477,0.000563716,0.000388208,0.000592762,0.000417628,0.000344506,0.00038271,0.000505156,0.000491912,0.000603786,0.000543843,0.000383183,0.000503808,0.000495704,0.000617484,0.00038241,0.000539698,0.000563007,0.000495444,0.000584647,0.000371812,0.000271738,0.00050333,0.000333424,0.000412909,0.000374268,0.000529871,0.000275482,0.000464517,0.000601477,0.000482373,0.00054826,0.000636126
"PWY-6703: preQ0 biosynthesis",0.000266056,0.000354759,0.000341926,0.000276231,0.0002062,0.000298882,0.000247987,0.000317775,0.000180799,0.000273278,0.000379385,0.000223423,0.000134625,0.000280289,0.000278025,0.000250128,0.00024994,0.000307112,0.00025365,0.000484044,0.000250981,0.000211353,0.000265729,0.000381627,0.000217757,0.000333139,0.000287264,0.0003241,0.000255157,0.000285538,0.000146413,0.000256347,0.000209615,0.00024372,0.000198946,0.000192775,0.000323828,0.000297926,0.000281046,0.000290024,0.000222371,0.000315964,0.000304357,0.00027485,0.000268932,0.000422344,0.000276048,0.000248934,0.000380029,0.000402635,0.000407597,0.000192081,0.000201552,0.000376506,0.000188684,0.000356946,0.000482682,0.000191398,0.000292085,0.000297177,0.000183744,0.00015865,0.000188331,0.000356977,0.000306085,0.000293453,0.000235704,0.000216472,0.000232042,0.000163571,0.00029782,0.000294632,0.00037664,0.000228278,0.000373062,0.000220361,0.000199776,0.000250507,0.000325905
